Created a socket
(1754486826.3802445) None 0x286#FFFFFFFFFFFFFFFF
(1754486826.3865626) None 0x286#FFFFFFFFFFFFFFFF
(1754486826.3928933) None 0x286#FFFFFFFFFFFFFFFF
(1754486826.3992012) None 0x286#FFFFFFFFFFFFFFFF
(1754486826.4055145) None 0x286#FFFFFFFFFFFFFFFF
(1754486826.4120958) None 0x286#FFFFFFFFFFFFFFFF
(1754486826.4183464) None 0x286#FFFFFFFFFFFFFFFF
(1754486826.4245975) None 0x286#FFFFFFFFFFFFFFFF
(1754486826.4310012) None 0x286#FFFFFFFFFFFFFFFF
(1754486826.437279) None 0x286#FFFFFFFFFFFFFFFF
(1754486826.4439542) None 0x286#FFFFFFFFFFFFFFFF
(1754486826.4502294) None 0x286#FFFFFFFFFFFFFFFF
(1754486826.457631) None 0x286#FFFFFFFFFFFFFFFF
(1754486826.4642148) None 0x286#FFFFFFFFFFFFFFFF
(1754486826.4707398) None 0x286#FFFFFFFFFFFFFFFF
(1754486826.4776256) None 0x286#FFFFFFFFFFFFFFFF
(1754486826.483902) None 0x286#FFFFFFFFFFFFFFFF
(1754486826.4902608) None 0x286#FFFFFFFFFFFFFFFF
(1754486826.4968011) None 0x286#FFFFFFFFFFFFFFFF
(1754486826.503365) None 0x286#FFFFFFFFFFFFFFFF
(1754486826.5099974) None 0x286#FFFFFFFFFFFFFFFF
(1754486826.5179675) None 0x286#FFFFFFFFFFFFFFFF
(1754486826.524666) None 0x286#FFFFFFFFFFFFFFFF
(1754486826.5314147) None 0x286#FFFFFFFFFFFFFFFF
(1754486826.5375867) None 0x286#FFFFFFFFFFFFFFFF
(1754486826.543647) None 0x286#FFFFFFFFFFFFFFFF
(1754486826.5501406) None 0x286#FFFFFFFFFFFFFFFF
(1754486826.5564137) None 0x286#FFFFFFFFFFFFFFFF
(1754486826.562881) None 0x286#FFFFFFFFFFFFFFFF
(1754486826.5694413) None 0x286#FFFFFFFFFFFFFFFF
(1754486826.5759933) None 0x286#FFFFFFFFFFFFFFFF
(1754486826.583817) None 0x286#FFFFFFFFFFFFFFFF
(1754486826.5904558) None 0x286#FFFFFFFFFFFFFFFF
(1754486826.597265) None 0x286#FFFFFFFFFFFFFFFF
(1754486826.6035652) None 0x286#FFFFFFFFFFFFFFFF
(1754486826.6096826) None 0x286#FFFFFFFFFFFFFFFF
(1754486826.6159801) None 0x286#FFFFFFFFFFFFFFFF
(1754486826.622106) None 0x286#FFFFFFFFFFFFFFFF
(1754486826.6285365) None 0x286#FFFFFFFFFFFFFFFF
(1754486826.635709) None 0x286#FFFFFFFFFFFFFFFF
(1754486826.641946) None 0x286#FFFFFFFFFFFFFFFF
(1754486826.6501496) None 0x286#FFFFFFFFFFFFFFFF
(1754486826.6563656) None 0x286#FFFFFFFFFFFFFFFF
(1754486826.6625905) None 0x286#FFFFFFFFFFFFFFFF
(1754486826.6689544) None 0x286#FFFFFFFFFFFFFFFF
(1754486826.6751528) None 0x286#FFFFFFFFFFFFFFFF
(1754486826.6815941) None 0x286#FFFFFFFFFFFFFFFF
(1754486826.6892195) None 0x286#FFFFFFFFFFFFFFFF
(1754486826.6957288) None 0x286#FFFFFFFFFFFFFFFF
(1754486826.7020612) None 0x286#FFFFFFFFFFFFFFFF
(1754486826.7082694) None 0x286#FFFFFFFFFFFFFFFF
(1754486826.7176716) None 0x286#FFFFFFFFFFFFFFFF
(1754486826.7248654) None 0x286#FFFFFFFFFFFFFFFF
(1754486826.7315357) None 0x286#FFFFFFFFFFFFFFFF
(1754486826.7392175) None 0x286#FFFFFFFFFFFFFFFF
(1754486826.7498863) None 0x286#FFFFFFFFFFFFFFFF
(1754486826.7564845) None 0x286#FFFFFFFFFFFFFFFF
(1754486826.7645934) None 0x286#FFFFFFFFFFFFFFFF
(1754486826.7712493) None 0x286#FFFFFFFFFFFFFFFF
(1754486826.778867) None 0x286#FFFFFFFFFFFFFFFF
(1754486826.7858725) None 0x286#FFFFFFFFFFFFFFFF
(1754486826.7935867) None 0x286#FFFFFFFFFFFFFFFF
(1754486826.8021028) None 0x286#FFFFFFFFFFFFFFFF
(1754486826.811384) None 0x286#FFFFFFFFFFFFFFFF
(1754486826.8186939) None 0x286#FFFFFFFFFFFFFFFF
(1754486826.8273335) None 0x286#FFFFFFFFFFFFFFFF
(1754486826.834528) None 0x286#FFFFFFFFFFFFFFFF
(1754486826.8417711) None 0x286#FFFFFFFFFFFFFFFF
(1754486826.8488429) None 0x286#FFFFFFFFFFFFFFFF
(1754486826.8570685) None 0x286#FFFFFFFFFFFFFFFF
(1754486826.8637192) None 0x286#FFFFFFFFFFFFFFFF
(1754486826.872042) None 0x286#FFFFFFFFFFFFFFFF
(1754486826.8783517) None 0x286#FFFFFFFFFFFFFFFF
(1754486826.8847067) None 0x286#FFFFFFFFFFFFFFFF
(1754486826.8912373) None 0x286#FFFFFFFFFFFFFFFF
(1754486826.897929) None 0x286#FFFFFFFFFFFFFFFF
(1754486826.9042523) None 0x286#FFFFFFFFFFFFFFFF
(1754486826.9108925) None 0x286#FFFFFFFFFFFFFFFF
(1754486826.9174943) None 0x286#FFFFFFFFFFFFFFFF
(1754486826.9239752) None 0x286#FFFFFFFFFFFFFFFF
(1754486826.9302874) None 0x286#FFFFFFFFFFFFFFFF
(1754486826.9369462) None 0x286#FFFFFFFFFFFFFFFF
(1754486826.9436011) None 0x286#FFFFFFFFFFFFFFFF
(1754486826.9502861) None 0x286#FFFFFFFFFFFFFFFF
(1754486826.9568782) None 0x286#FFFFFFFFFFFFFFFF
(1754486826.9634047) None 0x286#FFFFFFFFFFFFFFFF
(1754486826.9700432) None 0x286#FFFFFFFFFFFFFFFF
(1754486826.977604) None 0x286#FFFFFFFFFFFFFFFF
(1754486826.9856942) None 0x286#FFFFFFFFFFFFFFFF
(1754486826.9918218) None 0x286#FFFFFFFFFFFFFFFF
(1754486827.000489) None 0x286#FFFFFFFFFFFFFFFF
(1754486827.0074563) None 0x286#FFFFFFFFFFFFFFFF
(1754486827.014182) None 0x286#FFFFFFFFFFFFFFFF
(1754486827.0208588) None 0x286#FFFFFFFFFFFFFFFF
(1754486827.027614) None 0x286#FFFFFFFFFFFFFFFF
(1754486827.0343401) None 0x286#FFFFFFFFFFFFFFFF
(1754486827.0409384) None 0x286#FFFFFFFFFFFFFFFF
(1754486827.0478125) None 0x286#FFFFFFFFFFFFFFFF
(1754486827.0547185) None 0x286#FFFFFFFFFFFFFFFF
(1754486827.0612774) None 0x286#FFFFFFFFFFFFFFFF
(1754486827.06794) None 0x286#FFFFFFFFFFFFFFFF
(1754486827.0747967) None 0x286#FFFFFFFFFFFFFFFF
(1754486827.0818212) None 0x286#FFFFFFFFFFFFFFFF
(1754486827.0894775) None 0x286#FFFFFFFFFFFFFFFF
(1754486827.0966077) None 0x286#FFFFFFFFFFFFFFFF
(1754486827.1032627) None 0x286#FFFFFFFFFFFFFFFF
(1754486827.1096594) None 0x286#FFFFFFFFFFFFFFFF
(1754486827.1165855) None 0x286#FFFFFFFFFFFFFFFF
(1754486827.1232157) None 0x286#FFFFFFFFFFFFFFFF
(1754486827.12937) None 0x286#FFFFFFFFFFFFFFFF
(1754486827.1357343) None 0x286#FFFFFFFFFFFFFFFF
(1754486827.142017) None 0x286#FFFFFFFFFFFFFFFF
(1754486827.1484997) None 0x286#FFFFFFFFFFFFFFFF
(1754486827.1546633) None 0x286#FFFFFFFFFFFFFFFF
(1754486827.1608322) None 0x286#FFFFFFFFFFFFFFFF
(1754486827.167419) None 0x286#FFFFFFFFFFFFFFFF
(1754486827.1737845) None 0x286#FFFFFFFFFFFFFFFF
(1754486827.1805286) None 0x286#FFFFFFFFFFFFFFFF
(1754486827.18848) None 0x286#FFFFFFFFFFFFFFFF
(1754486827.1953187) None 0x286#FFFFFFFFFFFFFFFF
(1754486827.2019591) None 0x286#FFFFFFFFFFFFFFFF
(1754486827.2084422) None 0x286#FFFFFFFFFFFFFFFF
(1754486827.2153895) None 0x286#FFFFFFFFFFFFFFFF
(1754486827.222184) None 0x286#FFFFFFFFFFFFFFFF
(1754486827.2286763) None 0x286#FFFFFFFFFFFFFFFF
(1754486827.2358239) None 0x286#FFFFFFFFFFFFFFFF
(1754486827.2425268) None 0x286#FFFFFFFFFFFFFFFF
(1754486827.2489142) None 0x286#FFFFFFFFFFFFFFFF
(1754486827.2552214) None 0x286#FFFFFFFFFFFFFFFF
(1754486827.2616906) None 0x286#FFFFFFFFFFFFFFFF
(1754486827.2680557) None 0x286#FFFFFFFFFFFFFFFF
(1754486827.2740655) None 0x286#FFFFFFFFFFFFFFFF
(1754486827.280493) None 0x286#FFFFFFFFFFFFFFFF
(1754486827.2867997) None 0x286#FFFFFFFFFFFFFFFF
(1754486827.2932956) None 0x286#FFFFFFFFFFFFFFFF
(1754486827.3008134) None 0x286#FFFFFFFFFFFFFFFF
(1754486827.3077054) None 0x286#FFFFFFFFFFFFFFFF
(1754486827.314218) None 0x286#FFFFFFFFFFFFFFFF
(1754486827.3204982) None 0x286#FFFFFFFFFFFFFFFF
(1754486827.3276925) None 0x286#FFFFFFFFFFFFFFFF
(1754486827.3354774) None 0x286#FFFFFFFFFFFFFFFF
(1754486827.3426092) None 0x286#FFFFFFFFFFFFFFFF
(1754486827.3498788) None 0x286#FFFFFFFFFFFFFFFF
(1754486827.3559964) None 0x286#FFFFFFFFFFFFFFFF
(1754486827.3630702) None 0x286#FFFFFFFFFFFFFFFF
(1754486827.3695245) None 0x286#FFFFFFFFFFFFFFFF
(1754486827.3758855) None 0x286#FFFFFFFFFFFFFFFF
(1754486827.3823535) None 0x286#FFFFFFFFFFFFFFFF
(1754486827.3887227) None 0x286#FFFFFFFFFFFFFFFF
(1754486827.3949757) None 0x286#FFFFFFFFFFFFFFFF
(1754486827.4014) None 0x286#FFFFFFFFFFFFFFFF
(1754486827.4077299) None 0x286#FFFFFFFFFFFFFFFF
(1754486827.4139376) None 0x286#FFFFFFFFFFFFFFFF
(1754486827.4211402) None 0x286#FFFFFFFFFFFFFFFF
(1754486827.4276426) None 0x286#FFFFFFFFFFFFFFFF
(1754486827.4345224) None 0x286#FFFFFFFFFFFFFFFF
