Created a socket
(1754487333.367083) None 0x286#FFFFFFFFFFFFFFFF
(1754487333.4719439) None 0x286#FFFFFFFFFFFFFFFF
(1754487333.5781126) None 0x286#FFFFFFFFFFFFFFFF
(1754487333.6875188) None 0x286#FFFFFFFFFFFFFFFF
(1754487333.7953448) None 0x286#FFFFFFFFFFFFFFFF
(1754487333.9009416) None 0x286#FFFFFFFFFFFFFFFF
(1754487334.0063374) None 0x286#FFFFFFFFFFFFFFFF
(1754487334.113351) None 0x286#FFFFFFFFFFFFFFFF
(1754487334.2207658) None 0x286#FFFFFFFFFFFFFFFF
(1754487334.3256154) None 0x286#FFFFFFFFFFFFFFFF
(1754487334.4365659) None 0x286#FFFFFFFFFFFFFFFF
(1754487334.5411513) None 0x286#FFFFFFFFFFFFFFFF
(1754487334.649549) None 0x286#FFFFFFFFFFFFFFFF
(1754487334.7566307) None 0x286#FFFFFFFFFFFFFFFF
(1754487334.8656611) None 0x286#FFFFFFFFFFFFFFFF
(1754487334.9715135) None 0x286#FFFFFFFFFFFFFFFF
(1754487335.0769074) None 0x286#FFFFFFFFFFFFFFFF
(1754487335.1832235) None 0x286#FFFFFFFFFFFFFFFF
(1754487335.2894053) None 0x286#FFFFFFFFFFFFFFFF
(1754487335.3962097) None 0x286#FFFFFFFFFFFFFFFF
(1754487335.5012877) None 0x286#FFFFFFFFFFFFFFFF
(1754487335.608448) None 0x286#FFFFFFFFFFFFFFFF
(1754487335.7159963) None 0x286#FFFFFFFFFFFFFFFF
(1754487335.822054) None 0x286#FFFFFFFFFFFFFFFF
(1754487335.9285686) None 0x286#FFFFFFFFFFFFFFFF
(1754487336.03386) None 0x286#FFFFFFFFFFFFFFFF
(1754487336.1399677) None 0x286#FFFFFFFFFFFFFFFF
(1754487336.2449682) None 0x286#FFFFFFFFFFFFFFFF
(1754487336.3521197) None 0x286#FFFFFFFFFFFFFFFF
(1754487336.4589329) None 0x286#FFFFFFFFFFFFFFFF
(1754487336.5668638) None 0x286#FFFFFFFFFFFFFFFF
(1754487336.6709995) None 0x286#FFFFFFFFFFFFFFFF
(1754487336.7760665) None 0x286#FFFFFFFFFFFFFFFF
(1754487336.8813968) None 0x286#FFFFFFFFFFFFFFFF
(1754487336.9862118) None 0x286#FFFFFFFFFFFFFFFF
(1754487337.0912218) None 0x286#FFFFFFFFFFFFFFFF
(1754487337.1969104) None 0x286#FFFFFFFFFFFFFFFF
(1754487337.3018935) None 0x286#FFFFFFFFFFFFFFFF
(1754487337.406641) None 0x286#FFFFFFFFFFFFFFFF
(1754487337.5126119) None 0x286#FFFFFFFFFFFFFFFF
(1754487337.6173127) None 0x286#FFFFFFFFFFFFFFFF
(1754487337.7221897) None 0x286#FFFFFFFFFFFFFFFF
(1754487337.8306963) None 0x286#FFFFFFFFFFFFFFFF
(1754487337.937031) None 0x286#FFFFFFFFFFFFFFFF
(1754487338.046824) None 0x286#FFFFFFFFFFFFFFFF
(1754487338.1548753) None 0x286#FFFFFFFFFFFFFFFF
(1754487338.2611141) None 0x286#FFFFFFFFFFFFFFFF
(1754487338.3707604) None 0x286#FFFFFFFFFFFFFFFF
(1754487338.4765663) None 0x286#FFFFFFFFFFFFFFFF
(1754487338.582859) None 0x286#FFFFFFFFFFFFFFFF
(1754487338.6904838) None 0x286#FFFFFFFFFFFFFFFF
(1754487338.7967825) None 0x286#FFFFFFFFFFFFFFFF
(1754487338.9027264) None 0x286#FFFFFFFFFFFFFFFF
(1754487339.0083535) None 0x286#FFFFFFFFFFFFFFFF
(1754487339.1152594) None 0x286#FFFFFFFFFFFFFFFF
(1754487339.2220175) None 0x286#FFFFFFFFFFFFFFFF
(1754487339.327974) None 0x286#FFFFFFFFFFFFFFFF
(1754487339.4329343) None 0x286#FFFFFFFFFFFFFFFF
(1754487339.5404105) None 0x286#FFFFFFFFFFFFFFFF
(1754487339.6476758) None 0x286#FFFFFFFFFFFFFFFF
(1754487339.752415) None 0x286#FFFFFFFFFFFFFFFF
(1754487339.860036) None 0x286#FFFFFFFFFFFFFFFF
(1754487339.9683604) None 0x286#FFFFFFFFFFFFFFFF
(1754487340.072328) None 0x286#FFFFFFFFFFFFFFFF
(1754487340.1784513) None 0x286#FFFFFFFFFFFFFFFF
(1754487340.2850611) None 0x286#FFFFFFFFFFFFFFFF
(1754487340.3902798) None 0x286#FFFFFFFFFFFFFFFF
(1754487340.495176) None 0x286#FFFFFFFFFFFFFFFF
(1754487340.6000292) None 0x286#FFFFFFFFFFFFFFFF
(1754487340.7066426) None 0x286#FFFFFFFFFFFFFFFF
(1754487340.8145237) None 0x286#FFFFFFFFFFFFFFFF
(1754487340.9227068) None 0x286#FFFFFFFFFFFFFFFF
(1754487341.032688) None 0x286#FFFFFFFFFFFFFFFF
(1754487341.1409903) None 0x286#FFFFFFFFFFFFFFFF
(1754487341.246406) None 0x286#FFFFFFFFFFFFFFFF
(1754487341.3535166) None 0x286#FFFFFFFFFFFFFFFF
