Created a socket
(1754487491.5459979) None 0x43#000000FD78000000
(1754487491.5523944) None 0x43#000000FD78000000
(1754487491.5591617) None 0x43#000000FD78000000
(1754487491.5658925) None 0x43#000000FD78000000
(1754487491.5725746) None 0x43#000000FD78000000
(1754487491.5787835) None 0x43#000000FD78000000
(1754487491.5856245) None 0x43#000000FD78000000
(1754487491.5922184) None 0x43#000000FD78000000
(1754487491.5982587) None 0x43#000000FD78000000
(1754487491.605357) None 0x43#000000FD78000000
(1754487491.6115167) None 0x43#000000FD78000000
(1754487491.6181345) None 0x43#000000FD78000000
(1754487491.6254418) None 0x43#000000FD78000000
(1754487491.6320608) None 0x43#000000FD78000000
(1754487491.6384597) None 0x43#000000FD78000000
(1754487491.6447058) None 0x43#000000FD78000000
(1754487491.6521492) None 0x43#000000FD78000000
(1754487491.6598573) None 0x43#000000FD78000000
(1754487491.6662135) None 0x43#000000FD78000000
(1754487491.6733525) None 0x43#000000FD78000000
(1754487491.6796913) None 0x43#000000FD78000000
(1754487491.6860392) None 0x43#000000FD78000000
(1754487491.6926498) None 0x43#000000FD78000000
(1754487491.6992078) None 0x43#000000FD78000000
(1754487491.7058504) None 0x43#000000FD78000000
(1754487491.712194) None 0x43#000000FD78000000
(1754487491.7198575) None 0x43#000000FD78000000
(1754487491.7262602) None 0x43#000000FD78000000
(1754487491.7326326) None 0x43#000000FD78000000
(1754487491.7390218) None 0x43#000000FD78000000
(1754487491.7455978) None 0x43#000000FD78000000
(1754487491.7523942) None 0x43#000000FD78000000
(1754487491.7589414) None 0x43#000000FD78000000
(1754487491.765743) None 0x43#000000FD78000000
(1754487491.7722077) None 0x43#000000FD78000000
(1754487491.7786086) None 0x43#000000FD78000000
(1754487491.7851036) None 0x43#000000FD78000000
(1754487491.791773) None 0x43#000000FD78000000
(1754487491.79846) None 0x43#000000FD78000000
(1754487491.8060365) None 0x43#000000FD78000000
(1754487491.8127644) None 0x43#000000FD78000000
(1754487491.8191562) None 0x43#000000FD78000000
(1754487491.8270068) None 0x43#000000FD78000000
(1754487491.833353) None 0x43#000000FD78000000
(1754487491.8396986) None 0x43#000000FD78000000
(1754487491.8462746) None 0x43#000000FD78000000
(1754487491.8530393) None 0x43#000000FD78000000
