Created a socket
(1754487710.472652) None 0x43#40B8ADC6EF8164DA
(1754487710.472801) None 0x98#0EE3C450089FA43B
(1754487710.4730554) None 0xa2#5E83A06652ECE140
(1754487710.473299) None 0x290#263D129F77BC8582
(1754487710.487185) None 0x43#E607FBD289E490BB
(1754487710.487352) None 0x98#3F5B82E4973DA672
(1754487710.4875808) None 0xa2#3D79DDB1EDAF8ED5
(1754487710.501831) None 0xa2#D72B1C4BB19810CF
(1754487710.502025) None 0x43#1776EB02CB89F5F0
(1754487710.502274) None 0x98#CA6E7D63905FD85A
(1754487710.517035) None 0xa2#2C82F379F6B7D0AD
(1754487710.5172338) None 0x43#4CBA222C823C5D75
(1754487710.5174851) None 0x98#32E75D5C2194470A
(1754487710.5331926) None 0xa2#014F239C0A161459
(1754487710.5334067) None 0x43#39B65A5F8AC80050
(1754487710.5336647) None 0x98#320C1A458B9272F2
(1754487710.5482376) None 0xa2#0B01459C2DEA2C4C
(1754487710.5484457) None 0x43#9E25398E34DD82E0
(1754487710.5486982) None 0x98#AE45A0123F11828B
(1754487710.563325) None 0x43#48332AA47A7F9863
(1754487710.5634983) None 0x98#AF08A62FB56C61A7
(1754487710.5637403) None 0xa2#9C5C3494FF3E76D2
(1754487710.5640087) None 0x286#89AF3561987FBDA0
(1754487710.5818284) None 0x43#2477019F3BA4B205
(1754487710.5820568) None 0x98#977B4218A15CDA71
(1754487710.5832767) None 0x4#F8B7F1494666D96B
(1754487710.5836709) None 0x4#6419F3DB5087CE6B
(1754487710.593473) None 0x43#7906632556BE4FE5
(1754487710.5936394) None 0x98#027DFC8D09959B43
(1754487710.5938873) None 0xa2#589F70C0061BFA41
(1754487710.609423) None 0x43#745FCDF013D7D002
(1754487710.6096537) None 0x98#6F1537124E305358
(1754487710.6098843) None 0xa2#06C92319722C63F3
(1754487710.624635) None 0x43#E91429813D5D3BC0
(1754487710.624852) None 0x98#5ACC4B0732F66655
(1754487710.625096) None 0xa2#0D19331E774F1246
(1754487710.6396294) None 0x43#66488C76751DC75F
(1754487710.639847) None 0x98#B2E71C8E2E185FDA
(1754487710.6400957) None 0xa2#C8B37C8E11DF7D73
(1754487710.6545315) None 0x98#CD0964AA59C444E1
(1754487710.6547437) None 0x43#C191753673F2CB3C
(1754487710.6549954) None 0xa2#D3C9EE65F4CF1919
(1754487710.670008) None 0x98#6F2C33A4E6448A03
(1754487710.670214) None 0x43#F39CD5D5D07D199A
(1754487710.6704557) None 0xa2#E850FD2A3C86F0B6
(1754487710.6706991) None 0x286#148AB9C22AE07255
(1754487710.6849153) None 0x98#FF2B1B0D9DC585CB
(1754487710.6851227) None 0xa2#E067BB65DEFCC017
(1754487710.685372) None 0x290#36B7C882D442912D
(1754487710.687673) None 0x43#2137E044F76A5F70
(1754487710.7002149) None 0x98#4F08CB1C3113D1C0
(1754487710.7004113) None 0x43#4D36620E02DDD438
