Created a socket
(1754487131.370435) can0 0x98#0000000000000000
(1754487131.370656) can0 0x43#00000036BE000000
(1754487131.3709044) can0 0xa2#0000000000000000
(1754487131.3711462) can0 0x286#0000000F00000000
(1754487131.3713944) can0 0x290#0000005500000000
(1754487131.3852208) can0 0x43#000000F5B8000000
(1754487131.3854434) can0 0xa2#0000000000000000
(1754487131.3856924) can0 0x98#0000000000000000
(1754487131.3999026) can0 0x43#00000092B3000000
(1754487131.4001207) can0 0x98#0000000000000000
(1754487131.4003751) can0 0xa2#0000000000000000
(1754487131.4145982) can0 0x98#0000000000000000
(1754487131.414821) can0 0x43#00000012AE000000
(1754487131.415068) can0 0xa2#0000000000000000
(1754487131.429989) can0 0x43#00000077A8000000
(1754487131.4302106) can0 0x98#0000000000000000
(1754487131.4304564) can0 0xa2#0000000000000000
(1754487131.4461398) can0 0xa2#0000000000000000
(1754487131.4478238) can0 0x43#00000063A2000000
(1754487131.44817) can0 0x98#0000000000000000
(1754487131.4613478) can0 0x43#0000009A9C000000
(1754487131.4615705) can0 0x98#0000000000000000
(1754487131.4618115) can0 0xa2#0000000000000000
(1754487131.4762497) can0 0x43#000000C196000000
(1754487131.47647) can0 0x98#0000000000000000
(1754487131.4767196) can0 0xa2#0000000000000000
(1754487131.4769726) can0 0x286#0000000F00000000
(1754487131.4772155) can0 0x290#0000005500000000
(1754487131.4912198) can0 0x43#000000DB90000000
(1754487131.4914434) can0 0x98#0000000000000000
(1754487131.491698) can0 0xa2#0000000000000000
(1754487131.5061214) can0 0x98#0000000000000000
(1754487131.506319) can0 0x43#000000EA8A000000
(1754487131.5065615) can0 0xa2#0000000000000000
(1754487131.52225) can0 0x98#0000000000000000
(1754487131.5224478) can0 0x43#0000008D84000000
(1754487131.5226934) can0 0xa2#0000000000000000
(1754487131.5373874) can0 0x98#0000000000000000
(1754487131.5375967) can0 0x43#000000917E000000
(1754487131.5378313) can0 0xa2#0000000000000000
(1754487131.5541143) can0 0xa2#0000000000000000
(1754487131.5543337) can0 0x43#0000009778000000
(1754487131.5545828) can0 0x98#0000000000000000
(1754487131.567599) can0 0xa2#0000000000000000
(1754487131.567809) can0 0x43#0000003A72000000
(1754487131.568061) can0 0x98#0000000000000000
(1754487131.582573) can0 0x98#0000000000000000
(1754487131.5827808) can0 0x43#0000004A6C000000
(1754487131.5830371) can0 0xa2#0000000000000000
(1754487131.5832765) can0 0x286#0000000F00000000
(1754487131.583532) can0 0x290#0000005500000000
(1754487131.5975099) can0 0x43#0000006566000000
(1754487131.597732) can0 0x98#0000000000000000
(1754487131.597983) can0 0xa2#0000000000000000
(1754487131.6129625) can0 0x43#0000008E60000000
(1754487131.6131659) can0 0x98#0000000000000000
(1754487131.6134033) can0 0xa2#0000000000000000
(1754487131.6281488) can0 0x43#000000C85A000000
(1754487131.6283448) can0 0x98#0000000000000000
(1754487131.628638) can0 0xa2#0000000000000000
