Created a socket
(1754491234.6383247) can0 0x0#
(1754491234.6395798) can0 0x0#
(1754491234.6409154) can0 0x43#0000003FC0000000
(1754491234.6411006) can0 0x98#0000000000000000
(1754491234.6413667) can0 0xa2#0000000000000000
(1754491234.6423094) can0 0x0#
(1754491234.6446788) can0 0x0#
(1754491234.6459625) can0 0x0#
(1754491234.647343) can0 0x0#
(1754491234.648977) can0 0x0#
(1754491234.650532) can0 0x0#
(1754491234.6521134) can0 0x0#
(1754491234.6539373) can0 0x0#
(1754491234.6552503) can0 0x0#
(1754491234.6560292) can0 0xa2#0000000000000000
(1754491234.6562135) can0 0x43#0000004EC5000000
(1754491234.6564624) can0 0x98#0000000000000000
(1754491234.657534) can0 0x0#
(1754491234.6589737) can0 0x0#
(1754491234.6600757) can0 0x0#
(1754491234.661486) can0 0x0#
(1754491234.6631553) can0 0x0#
(1754491234.6646674) can0 0x0#
(1754491234.6660905) can0 0x0#
(1754491234.667261) can0 0x0#
(1754491234.6719604) can0 0xa2#0000000000000000
(1754491234.6721215) can0 0x43#00000086CA000000
(1754491234.6723843) can0 0x98#0000000000000000
(1754491234.6736894) can0 0x0#
(1754491234.6752253) can0 0x0#
(1754491234.6768234) can0 0x0#
(1754491234.6780908) can0 0x0#
(1754491234.680046) can0 0x0#
(1754491234.682108) can0 0x0#
(1754491234.68352) can0 0x0#
(1754491234.684864) can0 0x0#
(1754491234.6864393) can0 0x0#
(1754491234.6870754) can0 0x98#0000000000000000
(1754491234.6872513) can0 0x43#0000003FCF000000
(1754491234.6875207) can0 0xa2#0000000000000000
(1754491234.688385) can0 0x0#
(1754491234.68978) can0 0x0#
(1754491234.6911118) can0 0x0#
(1754491234.6925154) can0 0x0#
(1754491234.6941397) can0 0x0#
(1754491234.695653) can0 0x0#
(1754491234.6968877) can0 0x0#
(1754491234.698128) can0 0x0#
(1754491234.6996486) can0 0x0#
(1754491234.7012606) can0 0x0#
(1754491234.702627) can0 0x43#000000CAD3000000
(1754491234.702826) can0 0x98#0000000000000000
(1754491234.7030563) can0 0xa2#0000000000000000
(1754491234.703278) can0 0x0#
(1754491234.7048237) can0 0x0#
(1754491234.7062345) can0 0x0#
(1754491234.707551) can0 0x0#
(1754491234.7092433) can0 0x0#
(1754491234.7108264) can0 0x0#
(1754491234.711982) can0 0x0#
(1754491234.713337) can0 0x0#
(1754491234.715032) can0 0x0#
(1754491234.7168806) can0 0x0#
(1754491234.7178671) can0 0x43#0000006DD8000000
(1754491234.7180219) can0 0x98#0000000000000000
(1754491234.7182744) can0 0xa2#0000000000000000
(1754491234.7193925) can0 0x0#
(1754491234.7199636) can0 0x0#
(1754491234.721589) can0 0x0#
(1754491234.723209) can0 0x0#
(1754491234.7248192) can0 0x0#
(1754491234.7263389) can0 0x0#
(1754491234.7277112) can0 0x0#
(1754491234.7291102) can0 0x0#
(1754491234.730466) can0 0x0#
(1754491234.7318563) can0 0x0#
(1754491234.7330387) can0 0x43#00000092DC000000
(1754491234.733209) can0 0x98#0000000000000000
(1754491234.7335136) can0 0xa2#0000000000000000
(1754491234.7337055) can0 0x286#0000000000000000
(1754491234.7339644) can0 0x290#0000000000000000
(1754491234.734273) can0 0x0#
(1754491234.7357605) can0 0x0#
(1754491234.7375345) can0 0x0#
(1754491234.7390945) can0 0x0#
(1754491234.7404587) can0 0x0#
(1754491234.7419047) can0 0x0#
(1754491234.7433126) can0 0x0#
(1754491234.744683) can0 0x0#
(1754491234.7462869) can0 0x0#
(1754491234.7478745) can0 0x0#
(1754491234.7486906) can0 0x43#000000C3E0000000
(1754491234.74891) can0 0x98#0000000000000000
(1754491234.7491395) can0 0xa2#0000000000000000
(1754491234.7500877) can0 0x0#
(1754491234.7516835) can0 0x0#
