Created a socket
(1754491108.865382) can0 0x0#DEADBEEFDEADBEEF
(1754491108.8658729) can0 0x0#DEADBEEFDEADBEEF
(1754491108.8663256) can0 0x0#DEADBEEFDEADBEEF
(1754491108.866766) can0 0x0#DEADBEEFDEADBEEF
(1754491108.867211) can0 0x0#DEADBEEFDEADBEEF
(1754491108.8676484) can0 0x0#DEADBEEFDEADBEEF
(1754491108.8681095) can0 0x0#DEADBEEFDEADBEEF
(1754491108.8685641) can0 0x0#DEADBEEFDEADBEEF
(1754491108.868994) can0 0x0#DEADBEEFDEADBEEF
(1754491108.869407) can0 0x0#DEADBEEFDEADBEEF
(1754491108.8699605) can0 0x0#DEADBEEFDEADBEEF
(1754491108.8703928) can0 0x0#DEADBEEFDEADBEEF
(1754491108.8708317) can0 0x0#DEADBEEFDEADBEEF
(1754491108.8712766) can0 0x0#DEADBEEFDEADBEEF
(1754491108.871709) can0 0x0#DEADBEEFDEADBEEF
(1754491108.8722298) can0 0x0#DEADBEEFDEADBEEF
(1754491108.8725948) can0 0x43#000000B0F7000000
(1754491108.87277) can0 0x0#DEADBEEFDEADBEEF
(1754491108.8730402) can0 0x98#0000000000000000
(1754491108.8733006) can0 0x0#DEADBEEFDEADBEEF
(1754491108.8735144) can0 0xa2#0000000000000000
(1754491108.8737578) can0 0x0#DEADBEEFDEADBEEF
(1754491108.874207) can0 0x0#DEADBEEFDEADBEEF
(1754491108.8746407) can0 0x0#DEADBEEFDEADBEEF
(1754491108.8750758) can0 0x0#DEADBEEFDEADBEEF
(1754491108.8755064) can0 0x0#DEADBEEFDEADBEEF
(1754491108.875957) can0 0x0#DEADBEEFDEADBEEF
(1754491108.8764272) can0 0x0#DEADBEEFDEADBEEF
(1754491108.8769014) can0 0x0#DEADBEEFDEADBEEF
(1754491108.8773086) can0 0x0#DEADBEEFDEADBEEF
(1754491108.8777115) can0 0x0#DEADBEEFDEADBEEF
(1754491108.878178) can0 0x0#DEADBEEFDEADBEEF
(1754491108.87864) can0 0x0#DEADBEEFDEADBEEF
(1754491108.87912) can0 0x0#DEADBEEFDEADBEEF
(1754491108.879564) can0 0x0#DEADBEEFDEADBEEF
(1754491108.8799872) can0 0x0#DEADBEEFDEADBEEF
(1754491108.8803883) can0 0x0#DEADBEEFDEADBEEF
(1754491108.8808284) can0 0x0#DEADBEEFDEADBEEF
(1754491108.8812745) can0 0x0#DEADBEEFDEADBEEF
(1754491108.8817117) can0 0x0#DEADBEEFDEADBEEF
(1754491108.8821397) can0 0x0#DEADBEEFDEADBEEF
(1754491108.8825498) can0 0x0#DEADBEEFDEADBEEF
(1754491108.8830307) can0 0x0#DEADBEEFDEADBEEF
(1754491108.883474) can0 0x0#DEADBEEFDEADBEEF
(1754491108.8839738) can0 0x0#DEADBEEFDEADBEEF
(1754491108.8844347) can0 0x0#DEADBEEFDEADBEEF
(1754491108.8849163) can0 0x0#DEADBEEFDEADBEEF
(1754491108.8853517) can0 0x0#DEADBEEFDEADBEEF
(1754491108.8857932) can0 0x0#DEADBEEFDEADBEEF
(1754491108.8862398) can0 0x0#DEADBEEFDEADBEEF
(1754491108.886829) can0 0x0#DEADBEEFDEADBEEF
(1754491108.8870509) can0 0x43#00000081F9000000
(1754491108.8872678) can0 0x0#DEADBEEFDEADBEEF
(1754491108.8875244) can0 0x98#0000000000000000
(1754491108.8877523) can0 0x0#DEADBEEFDEADBEEF
(1754491108.8879972) can0 0xa2#0000000000000000
(1754491108.8882391) can0 0x0#DEADBEEFDEADBEEF
(1754491108.8886294) can0 0x0#DEADBEEFDEADBEEF
(1754491108.8890116) can0 0x0#DEADBEEFDEADBEEF
(1754491108.8894694) can0 0x0#DEADBEEFDEADBEEF
(1754491108.889894) can0 0x0#DEADBEEFDEADBEEF
(1754491108.8903317) can0 0x0#DEADBEEFDEADBEEF
(1754491108.890766) can0 0x0#DEADBEEFDEADBEEF
(1754491108.8911898) can0 0x0#DEADBEEFDEADBEEF
(1754491108.8916783) can0 0x0#DEADBEEFDEADBEEF
(1754491108.892105) can0 0x0#DEADBEEFDEADBEEF
(1754491108.8925836) can0 0x0#DEADBEEFDEADBEEF
(1754491108.8930438) can0 0x0#DEADBEEFDEADBEEF
(1754491108.8934774) can0 0x0#DEADBEEFDEADBEEF
(1754491108.8939269) can0 0x0#DEADBEEFDEADBEEF
(1754491108.8944016) can0 0x0#DEADBEEFDEADBEEF
(1754491108.894837) can0 0x0#DEADBEEFDEADBEEF
(1754491108.8952682) can0 0x0#DEADBEEFDEADBEEF
(1754491108.8956904) can0 0x0#DEADBEEFDEADBEEF
(1754491108.896138) can0 0x0#DEADBEEFDEADBEEF
(1754491108.8965962) can0 0x0#DEADBEEFDEADBEEF
(1754491108.8970163) can0 0x0#DEADBEEFDEADBEEF
(1754491108.8974261) can0 0x0#DEADBEEFDEADBEEF
(1754491108.897831) can0 0x0#DEADBEEFDEADBEEF
(1754491108.8983269) can0 0x0#DEADBEEFDEADBEEF
(1754491108.8989134) can0 0x0#DEADBEEFDEADBEEF
(1754491108.8993316) can0 0x0#DEADBEEFDEADBEEF
(1754491108.8997312) can0 0x0#DEADBEEFDEADBEEF
(1754491108.9001431) can0 0x0#DEADBEEFDEADBEEF
(1754491108.9006379) can0 0x0#DEADBEEFDEADBEEF
(1754491108.9010837) can0 0x0#DEADBEEFDEADBEEF
(1754491108.9014974) can0 0x0#DEADBEEFDEADBEEF
(1754491108.901922) can0 0x0#DEADBEEFDEADBEEF
(1754491108.9023502) can0 0x0#DEADBEEFDEADBEEF
(1754491108.902787) can0 0x0#DEADBEEFDEADBEEF
(1754491108.9030733) can0 0x43#000000EEFA000000
(1754491108.9033024) can0 0x0#DEADBEEFDEADBEEF
(1754491108.9035854) can0 0x98#0000000000000000
(1754491108.9037833) can0 0x0#DEADBEEFDEADBEEF
(1754491108.9040408) can0 0xa2#0000000000000000
(1754491108.904268) can0 0x0#DEADBEEFDEADBEEF
(1754491108.904681) can0 0x0#DEADBEEFDEADBEEF
(1754491108.9051068) can0 0x0#DEADBEEFDEADBEEF
(1754491108.9055488) can0 0x0#DEADBEEFDEADBEEF
(1754491108.9060144) can0 0x0#DEADBEEFDEADBEEF
(1754491108.9065177) can0 0x0#DEADBEEFDEADBEEF
(1754491108.9069843) can0 0x0#DEADBEEFDEADBEEF
(1754491108.9074981) can0 0x0#DEADBEEFDEADBEEF
(1754491108.9079728) can0 0x0#DEADBEEFDEADBEEF
(1754491108.9084291) can0 0x0#DEADBEEFDEADBEEF
(1754491108.9088843) can0 0x0#DEADBEEFDEADBEEF
(1754491108.9093194) can0 0x0#DEADBEEFDEADBEEF
(1754491108.9097748) can0 0x0#DEADBEEFDEADBEEF
(1754491108.9102387) can0 0x0#DEADBEEFDEADBEEF
(1754491108.9106781) can0 0x0#DEADBEEFDEADBEEF
(1754491108.9111187) can0 0x0#DEADBEEFDEADBEEF
(1754491108.9115646) can0 0x0#DEADBEEFDEADBEEF
(1754491108.9120116) can0 0x0#DEADBEEFDEADBEEF
(1754491108.9124575) can0 0x0#DEADBEEFDEADBEEF
(1754491108.9129798) can0 0x0#DEADBEEFDEADBEEF
(1754491108.9134414) can0 0x0#DEADBEEFDEADBEEF
(1754491108.9138813) can0 0x0#DEADBEEFDEADBEEF
(1754491108.9143646) can0 0x0#DEADBEEFDEADBEEF
(1754491108.9148204) can0 0x0#DEADBEEFDEADBEEF
(1754491108.9153094) can0 0x0#DEADBEEFDEADBEEF
(1754491108.9158525) can0 0x0#DEADBEEFDEADBEEF
(1754491108.9162767) can0 0x0#DEADBEEFDEADBEEF
(1754491108.9166994) can0 0x0#DEADBEEFDEADBEEF
(1754491108.9171226) can0 0x0#DEADBEEFDEADBEEF
(1754491108.9175506) can0 0x0#DEADBEEFDEADBEEF
(1754491108.917992) can0 0x0#DEADBEEFDEADBEEF
(1754491108.9182222) can0 0x43#00000025FC000000
(1754491108.9184532) can0 0x0#DEADBEEFDEADBEEF
(1754491108.9186974) can0 0x98#0000000000000000
(1754491108.9189496) can0 0x0#DEADBEEFDEADBEEF
(1754491108.9191852) can0 0xa2#0000000000000000
(1754491108.9194195) can0 0x0#DEADBEEFDEADBEEF
(1754491108.91967) can0 0x286#0000000000000000
(1754491108.919894) can0 0x0#DEADBEEFDEADBEEF
(1754491108.9202757) can0 0x0#DEADBEEFDEADBEEF
(1754491108.920692) can0 0x0#DEADBEEFDEADBEEF
(1754491108.9211192) can0 0x0#DEADBEEFDEADBEEF
(1754491108.921702) can0 0x0#DEADBEEFDEADBEEF
(1754491108.922122) can0 0x0#DEADBEEFDEADBEEF
(1754491108.9225392) can0 0x0#DEADBEEFDEADBEEF
(1754491108.923037) can0 0x0#DEADBEEFDEADBEEF
(1754491108.9234843) can0 0x0#DEADBEEFDEADBEEF
(1754491108.9239268) can0 0x0#DEADBEEFDEADBEEF
(1754491108.9243927) can0 0x0#DEADBEEFDEADBEEF
(1754491108.9248583) can0 0x0#DEADBEEFDEADBEEF
(1754491108.9252799) can0 0x0#DEADBEEFDEADBEEF
(1754491108.9257443) can0 0x0#DEADBEEFDEADBEEF
(1754491108.9261875) can0 0x0#DEADBEEFDEADBEEF
(1754491108.9268444) can0 0x0#DEADBEEFDEADBEEF
(1754491108.927276) can0 0x0#DEADBEEFDEADBEEF
(1754491108.9277086) can0 0x0#DEADBEEFDEADBEEF
(1754491108.9281552) can0 0x0#DEADBEEFDEADBEEF
(1754491108.9286327) can0 0x0#DEADBEEFDEADBEEF
(1754491108.92913) can0 0x0#DEADBEEFDEADBEEF
(1754491108.9295332) can0 0x0#DEADBEEFDEADBEEF
(1754491108.9299417) can0 0x0#DEADBEEFDEADBEEF
(1754491108.9306672) can0 0x0#DEADBEEFDEADBEEF
(1754491108.9311423) can0 0x0#DEADBEEFDEADBEEF
(1754491108.9324057) can0 0x0#DEADBEEFDEADBEEF
(1754491108.9326437) can0 0x43#000000F3FC000000
(1754491108.9328413) can0 0x98#0000000000000000
(1754491108.9330788) can0 0x0#DEADBEEFDEADBEEF
(1754491108.9333146) can0 0xa2#0000000000000000
(1754491108.9335737) can0 0x0#DEADBEEFDEADBEEF
(1754491108.934033) can0 0x0#DEADBEEFDEADBEEF
(1754491108.9344523) can0 0x0#DEADBEEFDEADBEEF
(1754491108.9348497) can0 0x0#DEADBEEFDEADBEEF
(1754491108.9353063) can0 0x0#DEADBEEFDEADBEEF
(1754491108.9357471) can0 0x0#DEADBEEFDEADBEEF
(1754491108.936173) can0 0x0#DEADBEEFDEADBEEF
(1754491108.9366405) can0 0x0#DEADBEEFDEADBEEF
(1754491108.937093) can0 0x0#DEADBEEFDEADBEEF
(1754491108.9375107) can0 0x0#DEADBEEFDEADBEEF
(1754491108.9379258) can0 0x0#DEADBEEFDEADBEEF
(1754491108.9383807) can0 0x0#DEADBEEFDEADBEEF
(1754491108.9387896) can0 0x0#DEADBEEFDEADBEEF
(1754491108.9392145) can0 0x0#DEADBEEFDEADBEEF
(1754491108.9396663) can0 0x0#DEADBEEFDEADBEEF
(1754491108.9400847) can0 0x0#DEADBEEFDEADBEEF
(1754491108.9405134) can0 0x0#DEADBEEFDEADBEEF
(1754491108.9410212) can0 0x0#DEADBEEFDEADBEEF
(1754491108.9414756) can0 0x0#DEADBEEFDEADBEEF
(1754491108.9419055) can0 0x0#DEADBEEFDEADBEEF
(1754491108.9423275) can0 0x0#DEADBEEFDEADBEEF
(1754491108.94276) can0 0x0#DEADBEEFDEADBEEF
(1754491108.9431586) can0 0x0#DEADBEEFDEADBEEF
(1754491108.9435914) can0 0x0#DEADBEEFDEADBEEF
(1754491108.9441082) can0 0x0#DEADBEEFDEADBEEF
(1754491108.9445653) can0 0x0#DEADBEEFDEADBEEF
(1754491108.9449854) can0 0x0#DEADBEEFDEADBEEF
(1754491108.945402) can0 0x0#DEADBEEFDEADBEEF
(1754491108.94584) can0 0x0#DEADBEEFDEADBEEF
(1754491108.9462705) can0 0x0#DEADBEEFDEADBEEF
(1754491108.9467533) can0 0x0#DEADBEEFDEADBEEF
(1754491108.9471965) can0 0x0#DEADBEEFDEADBEEF
(1754491108.9474287) can0 0x43#0000008BFD000000
(1754491108.9476516) can0 0x0#DEADBEEFDEADBEEF
(1754491108.9479127) can0 0x98#0000000000000000
(1754491108.9481294) can0 0x0#DEADBEEFDEADBEEF
(1754491108.9483886) can0 0xa2#0000000000000000
(1754491108.948613) can0 0x0#DEADBEEFDEADBEEF
(1754491108.9488857) can0 0x290#0000000000000000
(1754491108.949105) can0 0x0#DEADBEEFDEADBEEF
(1754491108.949587) can0 0x0#DEADBEEFDEADBEEF
(1754491108.9500303) can0 0x0#DEADBEEFDEADBEEF
(1754491108.9504838) can0 0x0#DEADBEEFDEADBEEF
(1754491108.9509094) can0 0x0#DEADBEEFDEADBEEF
(1754491108.9513376) can0 0x0#DEADBEEFDEADBEEF
(1754491108.9524508) can0 0x0#DEADBEEFDEADBEEF
(1754491108.9529426) can0 0x0#DEADBEEFDEADBEEF
(1754491108.9533901) can0 0x0#DEADBEEFDEADBEEF
(1754491108.953792) can0 0x0#DEADBEEFDEADBEEF
(1754491108.954285) can0 0x0#DEADBEEFDEADBEEF
(1754491108.9547224) can0 0x0#DEADBEEFDEADBEEF
(1754491108.9551442) can0 0x0#DEADBEEFDEADBEEF
(1754491108.9555786) can0 0x0#DEADBEEFDEADBEEF
(1754491108.9560575) can0 0x0#DEADBEEFDEADBEEF
(1754491108.9564996) can0 0x0#DEADBEEFDEADBEEF
(1754491108.9569702) can0 0x0#DEADBEEFDEADBEEF
(1754491108.9574225) can0 0x0#DEADBEEFDEADBEEF
(1754491108.9578745) can0 0x0#DEADBEEFDEADBEEF
(1754491108.958343) can0 0x0#DEADBEEFDEADBEEF
(1754491108.958821) can0 0x0#DEADBEEFDEADBEEF
(1754491108.9597135) can0 0x0#DEADBEEFDEADBEEF
(1754491108.9601603) can0 0x0#DEADBEEFDEADBEEF
(1754491108.9606833) can0 0x0#DEADBEEFDEADBEEF
(1754491108.9611344) can0 0x0#DEADBEEFDEADBEEF
(1754491108.9615374) can0 0x0#DEADBEEFDEADBEEF
