Created a socket
(1754490977.0388467) can0 0x43#00000030FB000000
(1754490977.0390387) can0 0x98#0000000000000000
(1754490977.0392838) can0 0xa2#0000000000000000
(1754490977.0395381) can0 0x290#0000000000000000
(1754490977.0409358) can0 0x286#FFFFFFFFFFFFFFFF
(1754490977.0541568) can0 0x43#000000D2F9000000
(1754490977.0543742) can0 0x98#0000000000000000
(1754490977.0546162) can0 0xa2#0000000000000000
(1754490977.069024) can0 0xa2#0000000000000000
(1754490977.0692375) can0 0x43#0000002EF8000000
(1754490977.0694983) can0 0x98#0000000000000000
(1754490977.0840135) can0 0x43#00000045F6000000
(1754490977.084235) can0 0x98#0000000000000000
(1754490977.0844908) can0 0xa2#0000000000000000
(1754490977.0989153) can0 0xa2#0000000000000000
(1754490977.0991375) can0 0x43#00000018F4000000
(1754490977.0994008) can0 0x98#0000000000000000
(1754490977.0996397) can0 0x286#0000000000000000
(1754490977.1138892) can0 0xa2#0000000000000000
(1754490977.1141145) can0 0x43#000000A9F1000000
(1754490977.1143653) can0 0x98#0000000000000000
(1754490977.1288772) can0 0xa2#0000000000000000
(1754490977.129099) can0 0x43#000000F8EE000000
(1754490977.129352) can0 0x98#0000000000000000
(1754490977.1442482) can0 0x43#00000008EC000000
(1754490977.144476) can0 0x98#0000000000000000
(1754490977.1447272) can0 0xa2#0000000000000000
(1754490977.1449783) can0 0x290#0000000000000000
(1754490977.1456997) can0 0x286#FFFFFFFFFFFFFFFF
(1754490977.1589622) can0 0x43#000000D9E8000000
(1754490977.1591933) can0 0x98#0000000000000000
(1754490977.1594377) can0 0xa2#0000000000000000
(1754490977.1740322) can0 0xa2#0000000000000000
(1754490977.1742606) can0 0x43#0000006FE5000000
(1754490977.1745105) can0 0x98#0000000000000000
(1754490977.1888332) can0 0x43#000000CAE1000000
(1754490977.1890745) can0 0x98#0000000000000000
(1754490977.1893137) can0 0xa2#0000000000000000
(1754490977.2037828) can0 0x43#000000EDDD000000
(1754490977.2040114) can0 0x98#0000000000000000
(1754490977.2042627) can0 0xa2#0000000000000000
(1754490977.204506) can0 0x286#0000000000000000
(1754490977.2187853) can0 0xa2#0000000000000000
(1754490977.2190182) can0 0x43#000000DAD9000000
(1754490977.2192895) can0 0x98#0000000000000000
(1754490977.2337637) can0 0xa2#0000000000000000
(1754490977.2339723) can0 0x43#00000094D5000000
(1754490977.2342122) can0 0x98#0000000000000000
(1754490977.2493942) can0 0x43#0000001CD1000000
(1754490977.2496052) can0 0x98#0000000000000000
(1754490977.2513564) can0 0xa2#0000000000000000
(1754490977.2515507) can0 0x290#0000000000000000
(1754490977.2530832) can0 0x286#FFFFFFFFFFFFFFFF
(1754490977.264676) can0 0xa2#0000000000000000
(1754490977.2648675) can0 0x43#00000075CC000000
(1754490977.2651267) can0 0x98#0000000000000000
(1754490977.2793734) can0 0x98#0000000000000000
(1754490977.2795718) can0 0x43#000000A3C7000000
(1754490977.2798147) can0 0xa2#0000000000000000
(1754490977.294382) can0 0x43#000000A7C2000000
(1754490977.2945354) can0 0x98#0000000000000000
(1754490977.294791) can0 0xa2#0000000000000000
(1754490977.309194) can0 0x43#00000085BD000000
(1754490977.3093698) can0 0x98#0000000000000000
(1754490977.309629) can0 0xa2#0000000000000000
(1754490977.309864) can0 0x286#0000000000000000
(1754490977.3240163) can0 0xa2#0000000000000000
(1754490977.324209) can0 0x43#0000003FB8000000
(1754490977.3244355) can0 0x98#0000000000000000
(1754490977.3392422) can0 0x98#0000000000000000
(1754490977.339446) can0 0x43#000000D8B2000000
(1754490977.3397014) can0 0xa2#0000000000000000
(1754490977.3540773) can0 0x98#0000000000000000
(1754490977.3542635) can0 0x43#00000054AD000000
(1754490977.3545125) can0 0xa2#0000000000000000
(1754490977.354772) can0 0x290#0000000000000000
(1754490977.355465) can0 0x286#FFFFFFFFFFFFFFFF
(1754490977.3693087) can0 0x98#0000000000000000
(1754490977.369509) can0 0x43#000000B6A7000000
(1754490977.369764) can0 0xa2#0000000000000000
(1754490977.3842163) can0 0xa2#0000000000000000
(1754490977.3844109) can0 0x43#00000001A2000000
(1754490977.384674) can0 0x98#0000000000000000
(1754490977.39917) can0 0x98#0000000000000000
(1754490977.3993912) can0 0x43#000000379C000000
(1754490977.3996336) can0 0xa2#0000000000000000
(1754490977.4140122) can0 0x98#0000000000000000
(1754490977.414233) can0 0x43#0000005D96000000
(1754490977.4144912) can0 0xa2#0000000000000000
(1754490977.4147415) can0 0x286#0000000000000000
(1754490977.4289906) can0 0x43#0000007690000000
(1754490977.42922) can0 0x98#0000000000000000
(1754490977.429465) can0 0xa2#0000000000000000
(1754490977.4439387) can0 0x43#000000848A000000
(1754490977.4441686) can0 0x98#0000000000000000
(1754490977.4443977) can0 0xa2#0000000000000000
(1754490977.459064) can0 0xa2#0000000000000000
(1754490977.4592724) can0 0x43#0000008D84000000
(1754490977.459523) can0 0x98#0000000000000000
(1754490977.459781) can0 0x290#0000000000000000
(1754490977.461038) can0 0x286#FFFFFFFFFFFFFFFF
(1754490977.4743383) can0 0x98#0000000000000000
(1754490977.4745467) can0 0x43#000000917E000000
(1754490977.4747922) can0 0xa2#0000000000000000
(1754490977.4889474) can0 0x98#0000000000000000
(1754490977.4891691) can0 0x43#0000009778000000
(1754490977.4894037) can0 0xa2#0000000000000000
(1754490977.5043838) can0 0xa2#0000000000000000
(1754490977.504609) can0 0x43#0000009F72000000
(1754490977.504846) can0 0x98#0000000000000000
(1754490977.5195267) can0 0x43#000000AF6C000000
(1754490977.5197518) can0 0x98#0000000000000000
(1754490977.5199797) can0 0xa2#0000000000000000
(1754490977.5202413) can0 0x286#0000000000000000
(1754490977.5343337) can0 0x98#0000000000000000
(1754490977.5345452) can0 0x43#000000C966000000
(1754490977.534789) can0 0xa2#0000000000000000
(1754490977.5491734) can0 0x98#0000000000000000
(1754490977.5493898) can0 0x43#000000F160000000
(1754490977.5496428) can0 0xa2#0000000000000000
(1754490977.564207) can0 0xa2#0000000000000000
(1754490977.564411) can0 0x43#0000002A5B000000
(1754490977.5646603) can0 0x98#0000000000000000
(1754490977.5649092) can0 0x290#0000000000000000
(1754490977.5656023) can0 0x286#FFFFFFFFFFFFFFFF
(1754490977.5793169) can0 0xa2#0000000000000000
(1754490977.5794988) can0 0x43#0000007755000000
(1754490977.5797434) can0 0x98#0000000000000000
(1754490977.5943754) can0 0x43#000000DC4F000000
(1754490977.5946038) can0 0x98#0000000000000000
(1754490977.594853) can0 0xa2#0000000000000000
(1754490977.6091087) can0 0xa2#0000000000000000
