Created a socket
(1754491325.749639) can0 0x43#000000473B000000
(1754491325.7535868) can0 0xa2#0000000000000000
(1754491325.7537766) can0 0x43#000000A21B000000
(1754491325.7540388) can0 0x98#0000000000000000
(1754491325.7562072) can0 0x43#000000473B000000
(1754491325.7625697) can0 0x43#000000473B000000
(1754491325.768813) can0 0xa2#0000000000000000
(1754491325.7699463) can0 0x43#000000473B000000
(1754491325.770154) can0 0x43#0000000518000000
(1754491325.7703733) can0 0x98#0000000000000000
(1754491325.7706287) can0 0x286#0000000000000000
(1754491325.7758229) can0 0x43#000000473B000000
(1754491325.7841063) can0 0x98#0000000000000000
(1754491325.7843153) can0 0x43#000000A214000000
(1754491325.7846255) can0 0xa2#0000000000000000
(1754491325.7852433) can0 0x43#000000473B000000
(1754491325.7913678) can0 0x43#000000473B000000
(1754491325.7975044) can0 0x43#000000473B000000
(1754491325.7987416) can0 0x43#0000007C11000000
(1754491325.7988806) can0 0x98#0000000000000000
(1754491325.7991436) can0 0xa2#0000000000000000
(1754491325.80523) can0 0x43#000000473B000000
(1754491325.8118787) can0 0x43#000000473B000000
(1754491325.8137279) can0 0xa2#0000000000000000
(1754491325.8139048) can0 0x43#000000930E000000
(1754491325.8141315) can0 0x98#0000000000000000
(1754491325.8188612) can0 0x43#000000473B000000
(1754491325.8255272) can0 0x43#000000473B000000
(1754491325.8285155) can0 0xa2#0000000000000000
(1754491325.8287332) can0 0x43#000000EB0B000000
(1754491325.8289802) can0 0x98#0000000000000000
(1754491325.832295) can0 0x43#000000473B000000
(1754491325.8428488) can0 0x43#000000473B000000
(1754491325.8436708) can0 0x43#0000008409000000
(1754491325.8438785) can0 0x98#0000000000000000
(1754491325.8441284) can0 0xa2#0000000000000000
(1754491325.8443763) can0 0x290#0000000000000000
(1754491325.8491297) can0 0x43#000000473B000000
(1754491325.8553343) can0 0x43#000000473B000000
(1754491325.8605819) can0 0x98#0000000000000000
(1754491325.860745) can0 0x43#0000003E07000000
(1754491325.8610048) can0 0xa2#0000000000000000
(1754491325.8652122) can0 0x43#000000473B000000
(1754491325.8715322) can0 0x43#000000473B000000
(1754491325.8743045) can0 0x98#0000000000000000
(1754491325.8745043) can0 0x43#0000006205000000
(1754491325.874754) can0 0xa2#0000000000000000
(1754491325.8750021) can0 0x286#0000000000000000
(1754491325.8778832) can0 0x43#000000473B000000
(1754491325.8844357) can0 0x43#000000473B000000
(1754491325.8892493) can0 0xa2#0000000000000000
(1754491325.8894534) can0 0x43#000000CB03000000
(1754491325.8896992) can0 0x98#0000000000000000
(1754491325.894926) can0 0x43#000000473B000000
(1754491325.901378) can0 0x43#000000473B000000
(1754491325.9044025) can0 0xa2#0000000000000000
(1754491325.904607) can0 0x43#0000007B02000000
(1754491325.9048753) can0 0x98#0000000000000000
(1754491325.9077792) can0 0x43#000000473B000000
(1754491325.9191325) can0 0x98#0000000000000000
(1754491325.919683) can0 0x43#000000473B000000
(1754491325.9199061) can0 0x43#0000007101000000
(1754491325.9201462) can0 0xa2#0000000000000000
(1754491325.9255161) can0 0x43#000000473B000000
(1754491325.9319606) can0 0x43#000000473B000000
(1754491325.9340901) can0 0x43#000000AE00000000
(1754491325.9343102) can0 0x98#0000000000000000
(1754491325.9345522) can0 0xa2#0000000000000000
(1754491325.9386835) can0 0x43#000000473B000000
(1754491325.9473822) can0 0x43#000000473B000000
(1754491325.9492495) can0 0xa2#0000000000000000
(1754491325.9494476) can0 0x43#0000003400000000
(1754491325.9496992) can0 0x98#0000000000000000
(1754491325.949945) can0 0x290#0000000000000000
(1754491325.9547226) can0 0x43#000000473B000000
(1754491325.9619436) can0 0x43#000000473B000000
(1754491325.9646223) can0 0x98#0000000000000000
(1754491325.9648387) can0 0x43#0000000100000000
(1754491325.9650965) can0 0xa2#0000000000000000
(1754491325.9682598) can0 0x43#000000473B000000
(1754491325.9747317) can0 0x43#000000473B000000
(1754491325.9806175) can0 0x98#0000000000000000
(1754491325.9809403) can0 0x43#000000473B000000
(1754491325.981197) can0 0x43#0000001600000000
(1754491325.9814303) can0 0xa2#0000000000000000
(1754491325.9816895) can0 0x286#0000000000000000
(1754491325.9875298) can0 0x43#000000473B000000
