Created a socket
(1754490485.678262) can0 0xa2#09D2E1122F024361
(1754490485.6873271) can0 0x43#9EDD67F63304990C
(1754490485.6886382) can0 0x98#0000000000000000
(1754490485.6887195) can0 0x43#0000007831000000
(1754490485.6890132) can0 0xa2#0000000000000000
(1754490485.695677) can0 0x98#DB1684018ED1D643
(1754490485.7036774) can0 0x43#CD6F51209D99FD27
(1754490485.704113) can0 0x43#000000842C000000
(1754490485.7043362) can0 0x98#0000000000000000
(1754490485.7046077) can0 0xa2#0000000100000000
(1754490485.713793) can0 0x98#9048B62495395C84
(1754490485.7198455) can0 0x43#000000C427000000
(1754490485.7200325) can0 0x98#0000000000000000
(1754490485.7202835) can0 0xa2#0000000100000000
(1754490485.7226138) can0 0xa2#73E05D1790F64577
(1754490485.7348957) can0 0x98#B40CBD5CC809DBDD
(1754490485.7362912) can0 0x98#0000000000000000
(1754490485.736477) can0 0x43#0000003E23000000
(1754490485.7367382) can0 0xa2#0000000000000000
(1754490485.7450836) can0 0x43#8587968E53664A94
(1754490485.7518375) can0 0xa2#1EE31FEAD19D7DE9
(1754490485.7523842) can0 0xa2#0000000000000000
(1754490485.7526004) can0 0x43#000000F21E000000
(1754490485.7528172) can0 0x98#0000000000000000
(1754490485.7530568) can0 0x286#0000000F00000000
(1754490485.7533007) can0 0x290#0000005500000000
(1754490485.7619262) can0 0xa2#EB0A1F9962680E27
(1754490485.767933) can0 0xa2#0000000000000000
(1754490485.768096) can0 0x43#000000241B000000
(1754490485.7683723) can0 0x98#0000000000000000
(1754490485.7687025) can0 0x43#048F4D9A616B1924
(1754490485.7776446) can0 0x98#BB3FF77DD80357EA
(1754490485.783389) can0 0x43#0000008E17000000
(1754490485.783595) can0 0x98#0000000000000000
(1754490485.7838438) can0 0xa2#0000000100000000
(1754490485.784428) can0 0x43#D3432DE1C9752BE1
(1754490485.794394) can0 0xa2#8D7C46B86A2D8B9A
(1754490485.798578) can0 0x43#000000FC13000000
(1754490485.798727) can0 0x98#0000000000000000
(1754490485.7989829) can0 0xa2#0000000100000000
(1754490485.8017948) can0 0x290#23A688CA6601A328
(1754490485.8111863) can0 0x98#AB5094A92D253C23
(1754490485.8137543) can0 0x43#000000E210000000
(1754490485.81396) can0 0x98#0000000000000000
(1754490485.8142538) can0 0xa2#0000000100000000
(1754490485.8179276) can0 0x286#DA4F1A09471EDEE7
(1754490485.8270447) can0 0x98#2E93ED19AF3F9168
(1754490485.8288388) can0 0x98#0000000000000000
(1754490485.829023) can0 0x43#000000060E000000
(1754490485.8292718) can0 0xa2#0000000100000000
(1754490485.837027) can0 0x43#E77960B83D7CDBE6
(1754490485.8442621) can0 0x43#0000006B0B000000
(1754490485.84445) can0 0x98#0000000000000000
(1754490485.8447096) can0 0xa2#0000000100000000
(1754490485.8497198) can0 0xa2#CDCBB838C8097D38
