Created a socket
(1754491739.5115144) can0 0x286#FFFFFFFFFFFFFFFF
(1754491739.512331) can0 0x98#0000000000000000
(1754491739.512493) can0 0x286#0000000000000000
(1754491739.5137622) can0 0xa2#0000000000000000
(1754491739.5139418) can0 0x43#000000B76A000000
(1754491739.5213246) can0 0x286#FFFFFFFFFFFFFFFF
(1754491739.5279353) can0 0x286#FFFFFFFFFFFFFFFF
(1754491739.528132) can0 0xa2#0000000000000000
(1754491739.5283737) can0 0x43#0000007164000000
(1754491739.5286279) can0 0x98#0000000000000000
(1754491739.5366454) can0 0x286#FFFFFFFFFFFFFFFF
(1754491739.5437794) can0 0x286#FFFFFFFFFFFFFFFF
(1754491739.5441008) can0 0x43#0000009F5E000000
(1754491739.5450945) can0 0xa2#0000000000000000
(1754491739.545277) can0 0x290#0000005500000000
(1754491739.5476785) can0 0x98#0000000000000000
(1754491739.5511847) can0 0x286#FFFFFFFFFFFFFFFF
(1754491739.5584548) can0 0x286#FFFFFFFFFFFFFFFF
(1754491739.5587423) can0 0x43#000000E058000000
(1754491739.559013) can0 0x98#0000000000000000
(1754491739.5592315) can0 0xa2#0000000000000000
(1754491739.567863) can0 0x286#FFFFFFFFFFFFFFFF
(1754491739.5745656) can0 0x286#FFFFFFFFFFFFFFFF
(1754491739.5767224) can0 0x43#0000003653000000
(1754491739.576925) can0 0x98#0000000000000000
(1754491739.577174) can0 0xa2#0000000000000000
(1754491739.5812445) can0 0x286#FFFFFFFFFFFFFFFF
(1754491739.5883164) can0 0x286#FFFFFFFFFFFFFFFF
(1754491739.5893025) can0 0xa2#0000000000000000
(1754491739.5894573) can0 0x43#000000484D000000
(1754491739.5897245) can0 0x98#0000000000000000
(1754491739.5946965) can0 0x286#FFFFFFFFFFFFFFFF
(1754491739.6034963) can0 0x286#FFFFFFFFFFFFFFFF
(1754491739.604728) can0 0x43#000000D547000000
(1754491739.6049423) can0 0x98#0000000000000000
(1754491739.6051996) can0 0xa2#0000000000000000
(1754491739.610033) can0 0x286#FFFFFFFFFFFFFFFF
(1754491739.6167643) can0 0x286#FFFFFFFFFFFFFFFF
(1754491739.6192844) can0 0xa2#0000000000000000
(1754491739.6194751) can0 0x43#0000008142000000
(1754491739.619727) can0 0x98#0000000000000000
(1754491739.6199927) can0 0x286#0000000000000000
(1754491739.623736) can0 0x286#FFFFFFFFFFFFFFFF
(1754491739.6336908) can0 0x286#FFFFFFFFFFFFFFFF
(1754491739.6346064) can0 0x43#000000503D000000
(1754491739.634769) can0 0x98#0000000000000000
(1754491739.635025) can0 0xa2#0000000000000000
(1754491739.6419804) can0 0x286#FFFFFFFFFFFFFFFF
(1754491739.6488142) can0 0x286#FFFFFFFFFFFFFFFF
(1754491739.6497982) can0 0x98#0000000000000000
(1754491739.6499457) can0 0x43#0000004438000000
(1754491739.6501968) can0 0xa2#0000000000000000
(1754491739.6504486) can0 0x290#0000005500000000
(1754491739.6559386) can0 0x286#FFFFFFFFFFFFFFFF
(1754491739.6646369) can0 0x43#0000006133000000
(1754491739.664806) can0 0x98#0000000000000000
(1754491739.6650681) can0 0xa2#0000000000000000
(1754491739.6663818) can0 0x286#FFFFFFFFFFFFFFFF
(1754491739.6718066) can0 0x286#FFFFFFFFFFFFFFFF
(1754491739.6782093) can0 0x286#FFFFFFFFFFFFFFFF
(1754491739.6796196) can0 0x43#000000A82E000000
(1754491739.6797786) can0 0x98#0000000000000000
(1754491739.68003) can0 0xa2#0000000000000000
(1754491739.6860676) can0 0x286#FFFFFFFFFFFFFFFF
(1754491739.69443) can0 0x43#0000001D2A000000
(1754491739.694535) can0 0x98#0000000000000000
(1754491739.6948) can0 0xa2#0000000000000000
(1754491739.6950355) can0 0x286#FFFFFFFFFFFFFFFF
(1754491739.7018902) can0 0x286#FFFFFFFFFFFFFFFF
(1754491739.7094495) can0 0x43#000000C225000000
(1754491739.7096584) can0 0x98#0000000000000000
(1754491739.7099085) can0 0xa2#0000000000000000
(1754491739.7113824) can0 0x286#FFFFFFFFFFFFFFFF
(1754491739.71873) can0 0x286#FFFFFFFFFFFFFFFF
(1754491739.724605) can0 0x98#0000000000000000
(1754491739.724762) can0 0x43#0000005521000000
(1754491739.7250042) can0 0xa2#0000000000000000
(1754491739.725251) can0 0x286#0000000000000000
(1754491739.7266397) can0 0x286#FFFFFFFFFFFFFFFF
(1754491739.7333028) can0 0x286#FFFFFFFFFFFFFFFF
(1754491739.7394052) can0 0x286#FFFFFFFFFFFFFFFF
(1754491739.740657) can0 0x43#000000661D000000
(1754491739.740833) can0 0x98#0000000000000000
(1754491739.741093) can0 0xa2#0000000000000000
(1754491739.746132) can0 0x286#FFFFFFFFFFFFFFFF
(1754491739.7539096) can0 0x286#FFFFFFFFFFFFFFFF
(1754491739.7557585) can0 0x43#000000AE19000000
(1754491739.755944) can0 0x98#0000000000000000
(1754491739.7561653) can0 0xa2#0000000000000000
(1754491739.7564101) can0 0x290#0000005500000000
(1754491739.760321) can0 0x286#FFFFFFFFFFFFFFFF
(1754491739.7685738) can0 0x286#FFFFFFFFFFFFFFFF
(1754491739.770768) can0 0xa2#0000000000000000
(1754491739.7709413) can0 0x43#0000002F16000000
(1754491739.771203) can0 0x98#0000000000000000
(1754491739.7761414) can0 0x286#FFFFFFFFFFFFFFFF
