Created a socket
(1754956215.604141) can0 0xa2#0000000000000000
(1754956215.60435) can0 0x43#000000B961000000
(1754956215.6046045) can0 0x98#0000000000000000
(1754956215.6193402) can0 0x98#0000000000000000
(1754956215.6195521) can0 0xa2#0000000000000000
(1754956215.6197937) can0 0x290#0000005500000000
(1754956215.6206813) can0 0x43#0000008E5B000000
(1754956215.6353095) can0 0xa2#0000000000000000
(1754956215.63553) can0 0x98#0000000000000000
(1754956215.6373622) can0 0x43#000000D955000000
(1754956215.6502707) can0 0x43#0000003D50000000
(1754956215.6504803) can0 0x98#0000000000000000
(1754956215.6507277) can0 0xa2#0000000000000000
(1754956215.6649528) can0 0x43#000000BA4A000000
(1754956215.6651669) can0 0xa2#0000000000000000
(1754956215.6654387) can0 0x98#0000000000000000
(1754956215.6801145) can0 0xa2#0000000000000000
(1754956215.6803262) can0 0x43#0000005645000000
(1754956215.6805756) can0 0x98#0000000000000000
(1754956215.6951327) can0 0x43#0000001240000000
(1754956215.695351) can0 0x98#0000000000000000
(1754956215.6955984) can0 0xa2#0000000000000000
(1754956215.7102463) can0 0x98#0000000000000000
(1754956215.7104554) can0 0x43#000000F23A000000
(1754956215.7107027) can0 0xa2#0000000000000000
(1754956215.7248192) can0 0x98#0000000000000000
(1754956215.7250369) can0 0x43#000000F835000000
(1754956215.7252796) can0 0xa2#0000000000000000
(1754956215.7255578) can0 0x290#0000005500000000
(1754956215.7400513) can0 0x43#0000002831000000
(1754956215.74027) can0 0x98#0000000000000000
(1754956215.7405167) can0 0xa2#0000000000000000
(1754956215.7557201) can0 0x98#0000000000000000
(1754956215.7559335) can0 0x43#000000372C000000
(1754956215.7561765) can0 0xa2#0000000000000000
(1754956215.7710052) can0 0xa2#0000000000000000
(1754956215.7712164) can0 0x43#000000C527000000
(1754956215.7714667) can0 0x98#0000000000000000
(1754956215.7866695) can0 0x98#0000000000000000
(1754956215.7868738) can0 0x43#0000003F23000000
(1754956215.7871234) can0 0xa2#0000000000000000
(1754956215.803614) can0 0x98#0000000000000000
(1754956215.8038242) can0 0x43#000000F31E000000
(1754956215.8076947) can0 0xa2#0000000000000000
(1754956215.8181283) can0 0xa2#0000000000000000
(1754956215.8183427) can0 0x43#000000641B000000
(1754956215.8185894) can0 0x98#0000000000000000
(1754956215.8322155) can0 0x98#0000000000000000
(1754956215.832419) can0 0x43#000000CA17000000
(1754956215.8326654) can0 0xa2#0000000000000000
(1754956215.832922) can0 0x290#0000005500000000
(1754956215.84769) can0 0xa2#0000000000000000
(1754956215.847905) can0 0x43#0000003414000000
