Created a socket
(0.0) None 0x0#DEADBEEFDEADBEEF
(0.0) None 0x0#DEADBEEFDEADBEEF
(0.0) None 0x0#DEADBEEFDEADBEEF
(0.0) None 0x0#DEADBEEFDEADBEEF
(0.0) None 0x0#DEADBEEFDEADBEEF
(0.0) None 0x0#DEADBEEFDEADBEEF
(0.0) None 0x0#DEADBEEFDEADBEEF
(0.0) None 0x0#DEADBEEFDEADBEEF
(0.0) None 0x0#DEADBEEFDEADBEEF
(0.0) None 0x0#DEADBEEFDEADBEEF
(0.0) None 0x0#DEADBEEFDEADBEEF
(0.0) None 0x0#DEADBEEFDEADBEEF
(0.0) None 0x0#DEADBEEFDEADBEEF
(0.0) None 0x0#DEADBEEFDEADBEEF
(0.0) None 0x0#DEADBEEFDEADBEEF
(0.0) None 0x0#DEADBEEFDEADBEEF
(0.0) None 0x0#DEADBEEFDEADBEEF
(0.0) None 0x0#DEADBEEFDEADBEEF
(0.0) None 0x0#DEADBEEFDEADBEEF
(0.0) None 0x0#DEADBEEFDEADBEEF
(0.0) None 0x0#DEADBEEFDEADBEEF
(0.0) None 0x0#DEADBEEFDEADBEEF
(0.0) None 0x0#DEADBEEFDEADBEEF
(0.0) None 0x0#DEADBEEFDEADBEEF
(0.0) None 0x0#DEADBEEFDEADBEEF
(0.0) None 0x0#DEADBEEFDEADBEEF
(0.0) None 0x0#DEADBEEFDEADBEEF
(0.0) None 0x0#DEADBEEFDEADBEEF
(0.0) None 0x0#DEADBEEFDEADBEEF
(0.0) None 0x0#DEADBEEFDEADBEEF
(0.0) None 0x0#DEADBEEFDEADBEEF
(0.0) None 0x0#DEADBEEFDEADBEEF
(0.0) None 0x0#DEADBEEFDEADBEEF
(0.0) None 0x0#DEADBEEFDEADBEEF
(0.0) None 0x0#DEADBEEFDEADBEEF
(0.0) None 0x0#DEADBEEFDEADBEEF
(0.0) None 0x0#DEADBEEFDEADBEEF
(0.0) None 0x0#DEADBEEFDEADBEEF
(0.0) None 0x0#DEADBEEFDEADBEEF
(0.0) None 0x0#DEADBEEFDEADBEEF
(0.0) None 0x0#DEADBEEFDEADBEEF
(0.0) None 0x0#DEADBEEFDEADBEEF
(0.0) None 0x0#DEADBEEFDEADBEEF
(0.0) None 0x0#DEADBEEFDEADBEEF
(0.0) None 0x0#DEADBEEFDEADBEEF
(0.0) None 0x0#DEADBEEFDEADBEEF
(0.0) None 0x0#DEADBEEFDEADBEEF
(0.0) None 0x0#DEADBEEFDEADBEEF
(0.0) None 0x0#DEADBEEFDEADBEEF
(0.0) None 0x0#DEADBEEFDEADBEEF
(0.0) None 0x0#DEADBEEFDEADBEEF
