Created a socket
(1754955772.1097534) can0 0x98#0000000000000000
(1754955772.109969) can0 0x43#0000000D03000000
(1754955772.110224) can0 0xa2#0000000000000000
(1754955772.1251144) can0 0xa2#0000000000000000
(1754955772.1253312) can0 0x43#0000007E04000000
(1754955772.1255898) can0 0x98#0000000000000000
(1754955772.1258285) can0 0x290#0000000000000000
(1754955772.1411955) can0 0x43#0000003406000000
(1754955772.1414099) can0 0x98#0000000000000000
(1754955772.1416576) can0 0xa2#0000000000000000
(1754955772.1558952) can0 0x43#0000005408000000
(1754955772.156107) can0 0x98#0000000000000000
(1754955772.1563592) can0 0xa2#0000000000000000
(1754955772.1711192) can0 0x43#000000970A000000
(1754955772.1713307) can0 0x98#0000000000000000
(1754955772.1715763) can0 0xa2#0000000000000000
(1754955772.186409) can0 0x43#0000001C0D000000
(1754955772.1866207) can0 0x98#0000000000000000
(1754955772.1868646) can0 0xa2#0000000000000000
(1754955772.2022793) can0 0x43#0000001410000000
(1754955772.2024975) can0 0x98#0000000000000000
(1754955772.2027426) can0 0xa2#0000000000000000
(1754955772.2175765) can0 0xa2#0000000000000000
(1754955772.2177556) can0 0x98#0000000000000000
(1754955772.217998) can0 0x43#0000005313000000
(1754955772.232902) can0 0x98#0000000000000000
(1754955772.2332578) can0 0x43#0000009E16000000
(1754955772.234408) can0 0xa2#0000000000000000
(1754955772.2346375) can0 0x290#0000000000000000
(1754955772.2485049) can0 0x98#0000000000000000
(1754955772.248718) can0 0x43#000000241A000000
(1754955772.248963) can0 0xa2#0000000000000000
(1754955772.2640872) can0 0x98#0000000000000000
(1754955772.264297) can0 0x43#000000E31D000000
(1754955772.2645407) can0 0xa2#0000000000000000
(1754955772.2788956) can0 0x43#0000001F22000000
(1754955772.2791142) can0 0x98#0000000000000000
(1754955772.2793622) can0 0xa2#0000000000000000
(1754955772.2943947) can0 0xa2#0000000000000000
(1754955772.2946103) can0 0x98#0000000000000000
(1754955772.294851) can0 0x43#0000004D26000000
(1754955772.3092623) can0 0x43#000000AE2A000000
(1754955772.309475) can0 0x98#0000000000000000
(1754955772.309721) can0 0xa2#0000000000000000
(1754955772.3247848) can0 0xa2#0000000000000000
(1754955772.3249912) can0 0x43#0000008F2F000000
(1754955772.3252413) can0 0x98#0000000000000000
(1754955772.340718) can0 0x98#0000000000000000
(1754955772.3409262) can0 0xa2#0000000000000000
(1754955772.3411674) can0 0x43#000000A334000000
(1754955772.3414202) can0 0x290#0000000000000000
(1754955772.3554714) can0 0xa2#0000000000000000
(1754955772.3556783) can0 0x43#0000009139000000
(1754955772.3559277) can0 0x98#0000000000000000
(1754955772.3725781) can0 0x98#0000000000000000
(1754955772.3727956) can0 0x43#000000A73E000000
(1754955772.3730366) can0 0xa2#0000000000000000
(1754955772.3860643) can0 0xa2#0000000000000000
(1754955772.3862667) can0 0x43#000000E143000000
(1754955772.3865178) can0 0x98#0000000000000000
(1754955772.4013734) can0 0xa2#0000000000000000
(1754955772.4015841) can0 0x43#0000003D49000000
(1754955772.4018342) can0 0x98#0000000000000000
(1754955772.4162204) can0 0x43#000000B84E000000
(1754955772.416438) can0 0x98#0000000000000000
(1754955772.4166808) can0 0xa2#0000000000000000
(1754955772.4318807) can0 0x43#000000AE54000000
(1754955772.432099) can0 0x98#0000000000000000
(1754955772.4323425) can0 0xa2#0000000000000000
(1754955772.4480624) can0 0xa2#0000000000000000
(1754955772.4482694) can0 0x43#000000BF5A000000
(1754955772.448521) can0 0x98#0000000000000000
(1754955772.448775) can0 0x290#0000000000000000
(1754955772.464079) can0 0xa2#0000000000000000
(1754955772.4642894) can0 0x43#0000008560000000
(1754955772.4645417) can0 0x98#0000000000000000
(1754955772.4791706) can0 0xa2#0000000000000000
(1754955772.4793806) can0 0x43#000000C066000000
(1754955772.4796333) can0 0x98#0000000000000000
(1754955772.494911) can0 0xa2#0000000000000000
(1754955772.4951186) can0 0x43#0000000B6D000000
(1754955772.4953704) can0 0x98#0000000000000000
(1754955772.5103488) can0 0x43#0000009672000000
(1754955772.5105643) can0 0x98#0000000000000000
(1754955772.5108175) can0 0xa2#0000000000000000
(1754955772.5251884) can0 0x43#000000F378000000
(1754955772.525396) can0 0x98#0000000000000000
(1754955772.52564) can0 0xa2#0000000000000000
(1754955772.540153) can0 0xa2#0000000000000000
(1754955772.5403106) can0 0x43#000000EE7E000000
(1754955772.5405648) can0 0x98#0000000000000000
(1754955772.5575135) can0 0x98#0000000000000000
(1754955772.5577242) can0 0x43#000000E984000000
(1754955772.5579557) can0 0xa2#0000000000000000
(1754955772.5582051) can0 0x290#0000000000000000
(1754955772.570355) can0 0x98#0000000000000000
(1754955772.5705736) can0 0x43#000000E18A000000
(1754955772.570821) can0 0xa2#0000000000000000
(1754955772.5848904) can0 0x98#0000000000000000
(1754955772.5851135) can0 0xa2#0000000000000000
(1754955772.585354) can0 0x43#000000D190000000
(1754955772.6002157) can0 0xa2#0000000000000000
(1754955772.600489) can0 0x98#0000000000000000
(1754955772.6012976) can0 0x43#000000B896000000
(1754955772.6152565) can0 0x43#000000919C000000
(1754955772.6154785) can0 0x98#0000000000000000
(1754955772.6157236) can0 0xa2#0000000000000000
(1754955772.6331687) can0 0x43#000000BCA2000000
(1754955772.6340408) can0 0x98#0000000000000000
(1754955772.6342645) can0 0xa2#0000000000000000
(1754955772.6472673) can0 0xa2#0000000000000000
(1754955772.6490557) can0 0x98#0000000000000000
(1754955772.6492803) can0 0x43#000000CFA8000000
(1754955772.661669) can0 0x98#0000000000000000
(1754955772.6618755) can0 0x43#00000009AE000000
(1754955772.6621246) can0 0xa2#0000000000000000
(1754955772.6623693) can0 0x290#0000000000000000
(1754955772.676594) can0 0x43#000000E7B3000000
(1754955772.6767993) can0 0x98#0000000000000000
(1754955772.6770422) can0 0xa2#0000000000000000
(1754955772.6922166) can0 0x43#00000047B9000000
(1754955772.6924288) can0 0x98#0000000000000000
(1754955772.692675) can0 0xa2#0000000000000000
(1754955772.7081425) can0 0x43#00000086BE000000
(1754955772.7083561) can0 0x98#0000000000000000
(1754955772.7086012) can0 0xa2#0000000000000000
(1754955772.7227864) can0 0x98#0000000000000000
