Created a socket
(1754955775.8580606) None 0x286#FFFFFFFFFFFFFFFF
(1754955775.9651148) None 0x286#FFFFFFFFFFFFFFFF
(1754955776.0723875) None 0x286#FFFFFFFFFFFFFFFF
(1754955776.1786733) None 0x286#FFFFFFFFFFFFFFFF
(1754955776.2838676) None 0x286#FFFFFFFFFFFFFFFF
(1754955776.3894827) None 0x286#FFFFFFFFFFFFFFFF
(1754955776.4956036) None 0x286#FFFFFFFFFFFFFFFF
(1754955776.6040728) None 0x286#FFFFFFFFFFFFFFFF
(1754955776.7097087) None 0x286#FFFFFFFFFFFFFFFF
(1754955776.814985) None 0x286#FFFFFFFFFFFFFFFF
(1754955776.921248) None 0x286#FFFFFFFFFFFFFFFF
(1754955777.027862) None 0x286#FFFFFFFFFFFFFFFF
(1754955777.1343577) None 0x286#FFFFFFFFFFFFFFFF
(1754955777.2406719) None 0x286#FFFFFFFFFFFFFFFF
(1754955777.3468945) None 0x286#FFFFFFFFFFFFFFFF
(1754955777.4545727) None 0x286#FFFFFFFFFFFFFFFF
(1754955777.5590816) None 0x286#FFFFFFFFFFFFFFFF
(1754955777.6699724) None 0x286#FFFFFFFFFFFFFFFF
(1754955777.7739654) None 0x286#FFFFFFFFFFFFFFFF
(1754955777.88073) None 0x286#FFFFFFFFFFFFFFFF
(1754955777.9876535) None 0x286#FFFFFFFFFFFFFFFF
(1754955778.0931249) None 0x286#FFFFFFFFFFFFFFFF
(1754955778.1980846) None 0x286#FFFFFFFFFFFFFFFF
(1754955778.3026304) None 0x286#FFFFFFFFFFFFFFFF
(1754955778.4076436) None 0x286#FFFFFFFFFFFFFFFF
(1754955778.5130186) None 0x286#FFFFFFFFFFFFFFFF
(1754955778.6187174) None 0x286#FFFFFFFFFFFFFFFF
(1754955778.7227733) None 0x286#FFFFFFFFFFFFFFFF
(1754955778.827749) None 0x286#FFFFFFFFFFFFFFFF
(1754955778.932753) None 0x286#FFFFFFFFFFFFFFFF
(1754955779.040059) None 0x286#FFFFFFFFFFFFFFFF
(1754955779.1462665) None 0x286#FFFFFFFFFFFFFFFF
(1754955779.255569) None 0x286#FFFFFFFFFFFFFFFF
(1754955779.3596814) None 0x286#FFFFFFFFFFFFFFFF
(1754955779.4650946) None 0x286#FFFFFFFFFFFFFFFF
(1754955779.5714245) None 0x286#FFFFFFFFFFFFFFFF
(1754955779.6785116) None 0x286#FFFFFFFFFFFFFFFF
(1754955779.785155) None 0x286#FFFFFFFFFFFFFFFF
(1754955779.891151) None 0x286#FFFFFFFFFFFFFFFF
(1754955779.9972022) None 0x286#FFFFFFFFFFFFFFFF
(1754955780.1029706) None 0x286#FFFFFFFFFFFFFFFF
(1754955780.2094784) None 0x286#FFFFFFFFFFFFFFFF
(1754955780.314084) None 0x286#FFFFFFFFFFFFFFFF
(1754955780.4214988) None 0x286#FFFFFFFFFFFFFFFF
(1754955780.5315516) None 0x286#FFFFFFFFFFFFFFFF
(1754955780.645534) None 0x286#FFFFFFFFFFFFFFFF
(1754955780.7538605) None 0x286#FFFFFFFFFFFFFFFF
(1754955780.8616848) None 0x286#FFFFFFFFFFFFFFFF
(1754955780.9664774) None 0x286#FFFFFFFFFFFFFFFF
(1754955781.0721755) None 0x286#FFFFFFFFFFFFFFFF
(1754955781.1786482) None 0x286#FFFFFFFFFFFFFFFF
(1754955781.2857256) None 0x286#FFFFFFFFFFFFFFFF
(1754955781.3898993) None 0x286#FFFFFFFFFFFFFFFF
(1754955781.496756) None 0x286#FFFFFFFFFFFFFFFF
(1754955781.6035075) None 0x286#FFFFFFFFFFFFFFFF
(1754955781.7094862) None 0x286#FFFFFFFFFFFFFFFF
