Created a socket
(1754943815.9511745) can0 0x43#0000009B50000000
(1754943815.9514031) can0 0x98#0000000000000000
(1754943815.9516501) can0 0xa2#0000000000000000
(1754943815.966664) can0 0x98#0000000000000000
(1754943815.9668617) can0 0x43#000000174B000000
(1754943815.9671125) can0 0xa2#0000000000000000
(1754943815.9814706) can0 0x98#0000000000000000
(1754943815.9816756) can0 0x43#0000005645000000
(1754943815.9819272) can0 0xa2#0000000000000000
(1754943815.9821692) can0 0x290#0000000000000000
(1754943815.9978688) can0 0x98#0000000000000000
(1754943815.9980826) can0 0x43#000000B93F000000
(1754943815.9983404) can0 0xa2#0000000000000000
(1754943816.013077) can0 0x43#000000F23A000000
(1754943816.0133011) can0 0x98#0000000000000000
(1754943816.0135572) can0 0xa2#0000000000000000
(1754943816.027899) can0 0xa2#0000000000000000
(1754943816.0281112) can0 0x43#000000F835000000
(1754943816.0283694) can0 0x98#0000000000000000
(1754943816.0425487) can0 0xa2#0000000000000000
(1754943816.0427456) can0 0x43#000000D830000000
(1754943816.043009) can0 0x98#0000000000000000
(1754943816.0582457) can0 0xa2#0000000000000000
(1754943816.0584476) can0 0x43#000000372C000000
(1754943816.0587008) can0 0x98#0000000000000000
(1754943816.0749972) can0 0xa2#0000000000000000
(1754943816.0752175) can0 0x43#000000C527000000
(1754943816.0754683) can0 0x98#0000000000000000
(1754943816.0892048) can0 0x98#0000000000000000
(1754943816.0894313) can0 0x43#000000F822000000
(1754943816.0896633) can0 0xa2#0000000000000000
(1754943816.089916) can0 0x290#0000000000000000
(1754943816.1043944) can0 0xa2#0000000000000000
(1754943816.1046205) can0 0x43#000000361F000000
(1754943816.1048691) can0 0x98#0000000000000000
(1754943816.1187716) can0 0x43#000000641B000000
(1754943816.118992) can0 0xa2#0000000000000000
(1754943816.1192424) can0 0x98#0000000000000000
(1754943816.134445) can0 0x98#0000000000000000
(1754943816.1346664) can0 0x43#0000008F17000000
(1754943816.134907) can0 0xa2#0000000000000000
(1754943816.149499) can0 0xa2#0000000000000000
(1754943816.1505454) can0 0x43#0000003414000000
(1754943816.150763) can0 0x98#0000000000000000
(1754943816.1646998) can0 0x98#0000000000000000
(1754943816.1649127) can0 0x43#0000001511000000
(1754943816.165167) can0 0xa2#0000000000000000
(1754943816.1797864) can0 0x43#000000360E000000
(1754943816.1800153) can0 0x98#0000000000000000
(1754943816.180251) can0 0xa2#0000000000000000
(1754943816.1953273) can0 0x98#0000000000000000
(1754943816.195549) can0 0x43#000000960B000000
(1754943816.1962085) can0 0xa2#0000000000000000
(1754943816.1964402) can0 0x290#0000000000000000
(1754943816.2098267) can0 0x98#0000000000000000
(1754943816.2100377) can0 0x43#0000003809000000
(1754943816.2102835) can0 0xa2#0000000000000000
(1754943816.2265053) can0 0xa2#0000000000000000
(1754943816.2267165) can0 0x43#000000FB06000000
(1754943816.2269745) can0 0x98#0000000000000000
(1754943816.241957) can0 0x98#0000000000000000
(1754943816.2421722) can0 0x43#0000000B05000000
(1754943816.242421) can0 0xa2#0000000000000000
(1754943816.2571867) can0 0xa2#0000000000000000
(1754943816.2574131) can0 0x43#0000008303000000
(1754943816.2576663) can0 0x98#0000000000000000
(1754943816.2726994) can0 0xa2#0000000000000000
(1754943816.2729151) can0 0x43#0000002D02000000
