Created a socket
(1754955865.6354432) can0 0x98#0000000000000000
(1754955865.6356902) can0 0xa2#0000000000000000
(1754955865.6359324) can0 0x290#0000005500000000
(1754955865.6500432) can0 0x43#000000D852000000
(1754955865.650264) can0 0x98#0000000000000000
(1754955865.6505096) can0 0xa2#0000000000000000
(1754955865.6649482) can0 0xa2#0000000000000000
(1754955865.665155) can0 0x43#000000494D000000
(1754955865.6654048) can0 0x98#0000000000000000
(1754955865.6799886) can0 0x98#0000000000000000
(1754955865.6802008) can0 0x43#0000003248000000
(1754955865.6804483) can0 0xa2#0000000000000000
(1754955865.694853) can0 0xa2#0000000000000000
(1754955865.695065) can0 0x43#000000DC42000000
(1754955865.6953166) can0 0x98#0000000000000000
(1754955865.7098317) can0 0x43#000000513D000000
(1754955865.7100475) can0 0x98#0000000000000000
(1754955865.710294) can0 0xa2#0000000000000000
(1754955865.7282207) can0 0x98#0000000000000000
(1754955865.7284343) can0 0x43#0000004638000000
(1754955865.7286818) can0 0xa2#0000000000000000
(1754955865.7413394) can0 0x43#0000001033000000
(1754955865.741585) can0 0x98#0000000000000000
(1754955865.7418005) can0 0xa2#0000000000000000
(1754955865.7420452) can0 0x290#0000005500000000
(1754955865.7570047) can0 0xa2#0000000000000000
(1754955865.7578504) can0 0x98#0000000000000000
(1754955865.758067) can0 0x43#000000BD2D000000
(1754955865.7717814) can0 0x43#0000008729000000
(1754955865.7719972) can0 0x98#0000000000000000
(1754955865.7722476) can0 0xa2#0000000000000000
(1754955865.7867103) can0 0x43#0000003225000000
(1754955865.786921) can0 0x98#0000000000000000
(1754955865.7871733) can0 0xa2#0000000000000000
(1754955865.8020673) can0 0xa2#0000000000000000
(1754955865.8022819) can0 0x43#0000001121000000
(1754955865.802529) can0 0x98#0000000000000000
(1754955865.8176215) can0 0x43#000000E41C000000
(1754955865.8183627) can0 0xa2#0000000000000000
(1754955865.818593) can0 0x98#0000000000000000
(1754955865.832377) can0 0x43#0000003419000000
(1754955865.8325896) can0 0x98#0000000000000000
(1754955865.832836) can0 0xa2#0000000000000000
(1754955865.8485875) can0 0x43#000000BD15000000
(1754955865.8488038) can0 0x98#0000000000000000
(1754955865.849052) can0 0xa2#0000000000000000
(1754955865.849293) can0 0x290#0000005500000000
(1754955865.8640013) can0 0xa2#0000000000000000
(1754955865.864212) can0 0x43#0000004D12000000
(1754955865.8644667) can0 0x98#0000000000000000
(1754955865.8791986) can0 0xa2#0000000000000000
(1754955865.879466) can0 0x98#0000000000000000
(1754955865.880768) can0 0x43#000000540F000000
(1754955865.8938086) can0 0xa2#0000000000000000
(1754955865.8940172) can0 0x43#000000C70C000000
(1754955865.8942673) can0 0x98#0000000000000000
(1754955865.909027) can0 0xa2#0000000000000000
(1754955865.9092405) can0 0x43#000000FA09000000
(1754955865.9094913) can0 0x98#0000000000000000
(1754955865.9235559) can0 0xa2#0000000000000000
(1754955865.9237654) can0 0x43#000000EC07000000
(1754955865.9240155) can0 0x98#0000000000000000
(1754955865.939039) can0 0x98#0000000000000000
(1754955865.939256) can0 0x43#000000F905000000
(1754955865.939501) can0 0xa2#0000000000000000
(1754955865.954522) can0 0x98#0000000000000000
(1754955865.9547307) can0 0x43#0000004C04000000
(1754955865.9549813) can0 0xa2#0000000000000000
(1754955865.9552264) can0 0x290#0000005500000000
(1754955865.9696836) can0 0x98#0000000000000000
(1754955865.969885) can0 0x43#000000E302000000
(1754955865.9701293) can0 0xa2#0000000000000000
(1754955865.9844868) can0 0x43#000000C201000000
(1754955865.984708) can0 0xa2#0000000000000000
(1754955865.9849553) can0 0x98#0000000000000000
(1754955865.9993227) can0 0x43#000000E700000000
(1754955865.999545) can0 0x98#0000000000000000
(1754955865.9998167) can0 0xa2#0000000000000000
(1754955866.0146296) can0 0x43#0000004D00000000
(1754955866.014848) can0 0x98#0000000000000000
(1754955866.0150928) can0 0xa2#0000000000000000
(1754955866.0304801) can0 0xa2#0000000000000000
(1754955866.0306892) can0 0x43#0000000500000000
(1754955866.030944) can0 0x98#0000000000000000
(1754955866.04815) can0 0xa2#0000000000000000
(1754955866.0483668) can0 0x43#0000000C00000000
(1754955866.0486186) can0 0x98#0000000000000000
(1754955866.0607042) can0 0xa2#0000000000000000
(1754955866.0609157) can0 0x43#0000005B00000000
(1754955866.0611653) can0 0x98#0000000000000000
(1754955866.0614207) can0 0x290#0000005500000000
(1754955866.0756097) can0 0xa2#0000000000000000
(1754955866.0758212) can0 0x43#000000E600000000
(1754955866.0760715) can0 0x98#0000000000000000
(1754955866.0905774) can0 0x98#0000000000000000
(1754955866.0907884) can0 0x43#000000C001000000
(1754955866.091032) can0 0xa2#0000000000000000
(1754955866.1067312) can0 0x98#0000000000000000
(1754955866.1069484) can0 0x43#000000F702000000
(1754955866.1082783) can0 0xa2#0000000000000000
(1754955866.120862) can0 0xa2#0000000000000000
(1754955866.121074) can0 0x43#0000006304000000
(1754955866.1213224) can0 0x98#0000000000000000
(1754955866.1366682) can0 0x98#0000000000000000
(1754955866.136885) can0 0xa2#0000000000000000
(1754955866.1377485) can0 0x43#0000003406000000
(1754955866.151785) can0 0xa2#0000000000000000
(1754955866.1519926) can0 0x43#0000003008000000
(1754955866.1522357) can0 0x98#0000000000000000
(1754955866.16708) can0 0x43#0000006E0A000000
(1754955866.1672924) can0 0x98#0000000000000000
(1754955866.167544) can0 0xa2#0000000000000000
(1754955866.1677876) can0 0x290#0000005500000000
(1754955866.1826386) can0 0xa2#0000000000000000
(1754955866.1828473) can0 0x43#0000001C0D000000
(1754955866.1830983) can0 0x98#0000000000000000
(1754955866.199082) can0 0xa2#0000000000000000
(1754955866.1992967) can0 0x43#000000E20F000000
(1754955866.1995451) can0 0x98#0000000000000000
(1754955866.213931) can0 0x43#000000E712000000
