Created a socket
(1754955869.2193534) None 0x43#000000B9E9000000
(1754955869.2255263) None 0x43#000000B9E9000000
(1754955869.232293) None 0x43#000000B9E9000000
(1754955869.23912) None 0x43#000000B9E9000000
(1754955869.2455454) None 0x43#000000B9E9000000
(1754955869.25239) None 0x43#000000B9E9000000
(1754955869.2591057) None 0x43#000000B9E9000000
(1754955869.2654662) None 0x43#000000B9E9000000
(1754955869.2717245) None 0x43#000000B9E9000000
(1754955869.2780375) None 0x43#000000B9E9000000
(1754955869.2844617) None 0x43#000000B9E9000000
(1754955869.2910564) None 0x43#000000B9E9000000
(1754955869.297257) None 0x43#000000B9E9000000
(1754955869.3038478) None 0x43#000000B9E9000000
(1754955869.3106797) None 0x43#000000B9E9000000
(1754955869.3185287) None 0x43#000000B9E9000000
(1754955869.3246818) None 0x43#000000B9E9000000
(1754955869.3313117) None 0x43#000000B9E9000000
(1754955869.3375692) None 0x43#000000B9E9000000
(1754955869.344319) None 0x43#000000B9E9000000
(1754955869.3507433) None 0x43#000000B9E9000000
(1754955869.357351) None 0x43#000000B9E9000000
(1754955869.3653338) None 0x43#000000B9E9000000
(1754955869.3720605) None 0x43#000000B9E9000000
(1754955869.3799074) None 0x43#000000B9E9000000
(1754955869.3858547) None 0x43#000000B9E9000000
(1754955869.3922734) None 0x43#000000B9E9000000
(1754955869.3987877) None 0x43#000000B9E9000000
(1754955869.4058857) None 0x43#000000B9E9000000
(1754955869.412607) None 0x43#000000B9E9000000
(1754955869.4203336) None 0x43#000000B9E9000000
(1754955869.427459) None 0x43#000000B9E9000000
(1754955869.4369013) None 0x43#000000B9E9000000
(1754955869.443862) None 0x43#000000B9E9000000
(1754955869.4505732) None 0x43#000000B9E9000000
(1754955869.4581306) None 0x43#000000B9E9000000
(1754955869.4645288) None 0x43#000000B9E9000000
(1754955869.4727015) None 0x43#000000B9E9000000
(1754955869.4810197) None 0x43#000000B9E9000000
(1754955869.4876673) None 0x43#000000B9E9000000
(1754955869.4942982) None 0x43#000000B9E9000000
(1754955869.501164) None 0x43#000000B9E9000000
(1754955869.5078347) None 0x43#000000B9E9000000
(1754955869.5148456) None 0x43#000000B9E9000000
(1754955869.5231817) None 0x43#000000B9E9000000
(1754955869.5311222) None 0x43#000000B9E9000000
(1754955869.53906) None 0x43#000000B9E9000000
(1754955869.5458293) None 0x43#000000B9E9000000
(1754955869.552204) None 0x43#000000B9E9000000
(1754955869.5588849) None 0x43#000000B9E9000000
(1754955869.5661101) None 0x43#000000B9E9000000
(1754955869.5726955) None 0x43#000000B9E9000000
(1754955869.5787883) None 0x43#000000B9E9000000
(1754955869.585149) None 0x43#000000B9E9000000
(1754955869.5912125) None 0x43#000000B9E9000000
(1754955869.59739) None 0x43#000000B9E9000000
(1754955869.6037536) None 0x43#000000B9E9000000
(1754955869.6109598) None 0x43#000000B9E9000000
(1754955869.6171432) None 0x43#000000B9E9000000
(1754955869.6239378) None 0x43#000000B9E9000000
(1754955869.6311288) None 0x43#000000B9E9000000
(1754955869.6392653) None 0x43#000000B9E9000000
(1754955869.6457417) None 0x43#000000B9E9000000
(1754955869.6546743) None 0x43#000000B9E9000000
(1754955869.6648803) None 0x43#000000B9E9000000
(1754955869.671531) None 0x43#000000B9E9000000
(1754955869.6790633) None 0x43#000000B9E9000000
(1754955869.6870377) None 0x43#000000B9E9000000
(1754955869.6950614) None 0x43#000000B9E9000000
(1754955869.701149) None 0x43#000000B9E9000000
(1754955869.7078705) None 0x43#000000B9E9000000
(1754955869.7149684) None 0x43#000000B9E9000000
(1754955869.7217455) None 0x43#000000B9E9000000
(1754955869.729813) None 0x43#000000B9E9000000
(1754955869.7368057) None 0x43#000000B9E9000000
(1754955869.743273) None 0x43#000000B9E9000000
(1754955869.7494075) None 0x43#000000B9E9000000
(1754955869.7560532) None 0x43#000000B9E9000000
(1754955869.763226) None 0x43#000000B9E9000000
(1754955869.7694037) None 0x43#000000B9E9000000
(1754955869.7755508) None 0x43#000000B9E9000000
(1754955869.781738) None 0x43#000000B9E9000000
(1754955869.7880766) None 0x43#000000B9E9000000
(1754955869.7944615) None 0x43#000000B9E9000000
(1754955869.800707) None 0x43#000000B9E9000000
(1754955869.8070168) None 0x43#000000B9E9000000
(1754955869.8139346) None 0x43#000000B9E9000000
(1754955869.8202696) None 0x43#000000B9E9000000
(1754955869.826484) None 0x43#000000B9E9000000
(1754955869.8326843) None 0x43#000000B9E9000000
(1754955869.8397448) None 0x43#000000B9E9000000
(1754955869.8462765) None 0x43#000000B9E9000000
(1754955869.852468) None 0x43#000000B9E9000000
(1754955869.8587508) None 0x43#000000B9E9000000
(1754955869.8663) None 0x43#000000B9E9000000
(1754955869.874547) None 0x43#000000B9E9000000
(1754955869.882246) None 0x43#000000B9E9000000
(1754955869.888436) None 0x43#000000B9E9000000
(1754955869.8945525) None 0x43#000000B9E9000000
(1754955869.9005988) None 0x43#000000B9E9000000
(1754955869.907139) None 0x43#000000B9E9000000
(1754955869.9135556) None 0x43#000000B9E9000000
(1754955869.920193) None 0x43#000000B9E9000000
(1754955869.9266295) None 0x43#000000B9E9000000
(1754955869.9330952) None 0x43#000000B9E9000000
(1754955869.939213) None 0x43#000000B9E9000000
(1754955869.9454486) None 0x43#000000B9E9000000
