Created a socket
(1754941834.1951442) can0 0x43#000000E210000000
(1754941834.1953778) can0 0x98#0000000000000000
(1754941834.195621) can0 0xa2#0000000000000000
(1754941834.210106) can0 0x43#000000070E000000
(1754941834.2103336) can0 0x98#0000000000000000
(1754941834.2105858) can0 0xa2#0000000000000000
(1754941834.2108371) can0 0x290#0000000000000000
(1754941834.225733) can0 0xa2#0000000000000000
(1754941834.2259526) can0 0x43#0000006B0B000000
(1754941834.226208) can0 0x98#0000000000000000
(1754941834.2406337) can0 0xa2#0000000000000000
(1754941834.2408628) can0 0x43#0000001109000000
(1754941834.241118) can0 0x98#0000000000000000
(1754941834.2560554) can0 0x43#000000FB06000000
(1754941834.2562907) can0 0x98#0000000000000000
(1754941834.2565656) can0 0xa2#0000000000000000
(1754941834.2708151) can0 0x98#0000000000000000
(1754941834.2710347) can0 0x43#0000002805000000
(1754941834.271293) can0 0xa2#0000000000000000
(1754941834.2859356) can0 0xa2#0000000000000000
(1754941834.286143) can0 0x43#0000009B03000000
(1754941834.2864) can0 0x98#0000000000000000
(1754941834.3008206) can0 0x43#0000005302000000
(1754941834.3010468) can0 0x98#0000000000000000
(1754941834.3012989) can0 0xa2#0000000000000000
(1754941834.3153574) can0 0xa2#0000000000000000
(1754941834.3155813) can0 0x43#0000005301000000
(1754941834.315835) can0 0x98#0000000000000000
(1754941834.316081) can0 0x290#0000000000000000
(1754941834.331137) can0 0xa2#0000000000000000
(1754941834.3313737) can0 0x43#0000009000000000
(1754941834.3316205) can0 0x98#0000000000000000
(1754941834.34684) can0 0x43#0000002400000000
(1754941834.3470974) can0 0x98#0000000000000000
(1754941834.3473175) can0 0xa2#0000000000000000
(1754941834.3624728) can0 0x43#0000000000000000
(1754941834.362702) can0 0x98#0000000000000000
(1754941834.3629477) can0 0xa2#0000000000000000
(1754941834.3779683) can0 0xa2#0000000000000000
(1754941834.378188) can0 0x43#0000002800000000
(1754941834.37844) can0 0x98#0000000000000000
(1754941834.3932137) can0 0x98#0000000000000000
(1754941834.393415) can0 0x43#000000A300000000
(1754941834.3936648) can0 0xa2#0000000000000000
(1754941834.407806) can0 0xa2#0000000000000000
(1754941834.4080179) can0 0x43#0000005201000000
(1754941834.408271) can0 0x98#0000000000000000
(1754941834.4235835) can0 0x43#0000006502000000
(1754941834.423804) can0 0x98#0000000000000000
(1754941834.4240496) can0 0xa2#0000000000000000
(1754941834.4243083) can0 0x290#0000000000000000
(1754941834.438771) can0 0xa2#0000000000000000
(1754941834.4389958) can0 0x43#000000B003000000
(1754941834.439243) can0 0x98#0000000000000000
(1754941834.4536223) can0 0xa2#0000000000000000
(1754941834.4538388) can0 0x98#0000000000000000
(1754941834.4540884) can0 0x43#0000004205000000
(1754941834.4694726) can0 0xa2#0000000000000000
(1754941834.469689) can0 0x43#0000001907000000
(1754941834.4699395) can0 0x98#0000000000000000
(1754941834.4843807) can0 0x43#0000005A09000000
(1754941834.4845948) can0 0xa2#0000000000000000
(1754941834.4848478) can0 0x98#0000000000000000
(1754941834.4994702) can0 0x43#000000BC0B000000
(1754941834.4996884) can0 0xa2#0000000000000000
(1754941834.5002728) can0 0x98#0000000000000000
(1754941834.515112) can0 0xa2#0000000000000000
(1754941834.5153062) can0 0x43#0000008F0E000000
(1754941834.5155416) can0 0x98#0000000000000000
(1754941834.5292778) can0 0x98#0000000000000000
(1754941834.529479) can0 0x43#0000004311000000
(1754941834.5297282) can0 0xa2#0000000000000000
(1754941834.5299752) can0 0x290#0000000000000000
(1754941834.5454242) can0 0x98#0000000000000000
(1754941834.5455902) can0 0x43#0000009D14000000
(1754941834.5458536) can0 0xa2#0000000000000000
(1754941834.5591342) can0 0x98#0000000000000000
(1754941834.5593274) can0 0x43#0000008817000000
(1754941834.55959) can0 0xa2#0000000000000000
(1754941834.5740013) can0 0xa2#0000000000000000
(1754941834.5741985) can0 0x43#0000001E1B000000
