Created a socket
(1754941839.5562406) None 0xa2#0F9AD55FE8498D7F
(1754941839.5564604) None 0x43#741EF97F7A2659F6
(1754941839.5567195) None 0x98#10338B8760E6E86D
(1754941839.566756) None 0xa2#74025A64DBCD5B8E
(1754941839.5669515) None 0x43#BC912D4B71657524
(1754941839.5672116) None 0x98#822C64C69ACA7EAD
(1754941839.5824895) None 0x98#EEF561DADB4574DE
(1754941839.5827122) None 0x43#ADABB5F64427B73D
(1754941839.5829616) None 0xa2#2E8976582F0E321C
(1754941839.598599) None 0x98#CFFD1C20F5D39EF3
(1754941839.5988085) None 0x43#9C5A8B8CC5ED674E
(1754941839.599069) None 0xa2#E2E980882ABA3845
(1754941839.613826) None 0x43#4F775263297EC523
(1754941839.614043) None 0x98#066531E1D6C35F60
(1754941839.6142943) None 0xa2#AF432D6F7F1CADBB
(1754941839.628967) None 0x43#6D511C211B69CCED
(1754941839.6291933) None 0xa2#91EE66BB3066AF5E
(1754941839.6294565) None 0x98#86BE536ED9A06F91
(1754941839.6442754) None 0xa2#793A688893FB2056
(1754941839.6445012) None 0x290#4CC6BC3749D8B3E4
(1754941839.6463668) None 0x43#7638D158B8A81634
(1754941839.6465695) None 0x98#67DB14809CBC87EE
(1754941839.6595216) None 0x43#988A27673B527535
(1754941839.6596334) None 0xa2#5062F342B4622DD9
(1754941839.6604717) None 0x98#3CFD7A6D97B41878
(1754941839.6745067) None 0x98#1337655F80D9DC23
(1754941839.674609) None 0x43#4D9699504C42B089
(1754941839.6749125) None 0xa2#B50D5BE901363E5B
(1754941839.688814) None 0xa2#27B1E8EEBB48B25E
(1754941839.6890326) None 0x43#5EAAF81765A4FFCC
(1754941839.689282) None 0x98#EC08FE52662CD84E
(1754941839.7043264) None 0xa2#EED4EBC77440436F
(1754941839.7045472) None 0x43#87240098C7B3ECAC
(1754941839.7048032) None 0x98#F3E8AB8F03826E60
(1754941839.71882) None 0x43#03099376FD9792EE
(1754941839.719046) None 0x98#B2B6A473C9DD1F9C
(1754941839.7193005) None 0xa2#4A9E54B5A7A14D47
(1754941839.7341404) None 0x43#35379DC9BC9EED5F
(1754941839.7343643) None 0x98#6342EA0CF098F2E8
(1754941839.7346113) None 0xa2#D368358106C5C6D0
(1754941839.749243) None 0xa2#4892EAD964B16DEC
(1754941839.7494478) None 0x43#6A026B86D158951C
(1754941839.7497067) None 0x98#6D325DEC3CD0EE40
(1754941839.7499564) None 0x290#28A856D5054380CB
(1754941839.7650468) None 0xa2#D17BFF556149DDE2
(1754941839.7652712) None 0x43#0310D47F4495ADB6
(1754941839.7655172) None 0x98#F910CD18EF019706
(1754941839.7800107) None 0x98#0861368C6342867C
(1754941839.7802143) None 0x43#B69E7C564CC775C5
(1754941839.7804465) None 0xa2#799FAEF4295B7A38
(1754941839.795468) None 0x43#5E6F5B6C25F2D45F
(1754941839.7956629) None 0x98#1C70039846DEAE9D
(1754941839.7959218) None 0xa2#9F4341410AD4A52E
(1754941839.8108625) None 0x98#DD887CE923E5D676
(1754941839.8110538) None 0x43#ABC72C3A5297EACC
