Created a socket
(1754955966.7660422) None 0x286#FFFFFFFFFFFFFFFF
(1754955966.773356) None 0x286#FFFFFFFFFFFFFFFF
(1754955966.7799768) None 0x286#FFFFFFFFFFFFFFFF
(1754955966.7873843) None 0x286#FFFFFFFFFFFFFFFF
(1754955966.7940516) None 0x286#FFFFFFFFFFFFFFFF
(1754955966.801399) None 0x286#FFFFFFFFFFFFFFFF
(1754955966.8079076) None 0x286#FFFFFFFFFFFFFFFF
(1754955966.8148847) None 0x286#FFFFFFFFFFFFFFFF
(1754955966.822172) None 0x286#FFFFFFFFFFFFFFFF
(1754955966.8285325) None 0x286#FFFFFFFFFFFFFFFF
(1754955966.83709) None 0x286#FFFFFFFFFFFFFFFF
(1754955966.8431792) None 0x286#FFFFFFFFFFFFFFFF
(1754955966.8493373) None 0x286#FFFFFFFFFFFFFFFF
(1754955966.8553996) None 0x286#FFFFFFFFFFFFFFFF
(1754955966.862604) None 0x286#FFFFFFFFFFFFFFFF
(1754955966.868911) None 0x286#FFFFFFFFFFFFFFFF
(1754955966.875232) None 0x286#FFFFFFFFFFFFFFFF
(1754955966.8822682) None 0x286#FFFFFFFFFFFFFFFF
(1754955966.8884995) None 0x286#FFFFFFFFFFFFFFFF
(1754955966.896154) None 0x286#FFFFFFFFFFFFFFFF
(1754955966.9035459) None 0x286#FFFFFFFFFFFFFFFF
(1754955966.9106867) None 0x286#FFFFFFFFFFFFFFFF
(1754955966.9168453) None 0x286#FFFFFFFFFFFFFFFF
(1754955966.9236097) None 0x286#FFFFFFFFFFFFFFFF
(1754955966.9297776) None 0x286#FFFFFFFFFFFFFFFF
(1754955966.9361594) None 0x286#FFFFFFFFFFFFFFFF
(1754955966.942473) None 0x286#FFFFFFFFFFFFFFFF
(1754955966.949049) None 0x286#FFFFFFFFFFFFFFFF
(1754955966.9556768) None 0x286#FFFFFFFFFFFFFFFF
(1754955966.9619834) None 0x286#FFFFFFFFFFFFFFFF
(1754955966.9681692) None 0x286#FFFFFFFFFFFFFFFF
(1754955966.9742846) None 0x286#FFFFFFFFFFFFFFFF
(1754955966.9806526) None 0x286#FFFFFFFFFFFFFFFF
(1754955966.987144) None 0x286#FFFFFFFFFFFFFFFF
(1754955966.99338) None 0x286#FFFFFFFFFFFFFFFF
(1754955966.999555) None 0x286#FFFFFFFFFFFFFFFF
(1754955967.0073602) None 0x286#FFFFFFFFFFFFFFFF
(1754955967.0145013) None 0x286#FFFFFFFFFFFFFFFF
(1754955967.0208356) None 0x286#FFFFFFFFFFFFFFFF
(1754955967.027259) None 0x286#FFFFFFFFFFFFFFFF
(1754955967.0334456) None 0x286#FFFFFFFFFFFFFFFF
(1754955967.040095) None 0x286#FFFFFFFFFFFFFFFF
(1754955967.047123) None 0x286#FFFFFFFFFFFFFFFF
(1754955967.053665) None 0x286#FFFFFFFFFFFFFFFF
(1754955967.0598092) None 0x286#FFFFFFFFFFFFFFFF
(1754955967.066719) None 0x286#FFFFFFFFFFFFFFFF
(1754955967.0738015) None 0x286#FFFFFFFFFFFFFFFF
(1754955967.0801413) None 0x286#FFFFFFFFFFFFFFFF
(1754955967.0868695) None 0x286#FFFFFFFFFFFFFFFF
(1754955967.0944932) None 0x286#FFFFFFFFFFFFFFFF
(1754955967.1006505) None 0x286#FFFFFFFFFFFFFFFF
(1754955967.106946) None 0x286#FFFFFFFFFFFFFFFF
(1754955967.113968) None 0x286#FFFFFFFFFFFFFFFF
(1754955967.1213472) None 0x286#FFFFFFFFFFFFFFFF
(1754955967.1275663) None 0x286#FFFFFFFFFFFFFFFF
(1754955967.1346989) None 0x286#FFFFFFFFFFFFFFFF
(1754955967.1409857) None 0x286#FFFFFFFFFFFFFFFF
