Created a socket
(1754955962.2706215) can0 0x98#0000000000000000
(1754955962.2708423) can0 0x43#0000000A21000000
(1754955962.2710786) can0 0xa2#0000000000000000
(1754955962.285588) can0 0x98#0000000000000000
(1754955962.2857955) can0 0x43#0000002B25000000
(1754955962.286042) can0 0xa2#0000000000000000
(1754955962.3014545) can0 0x98#0000000000000000
(1754955962.3016672) can0 0x43#0000007F29000000
(1754955962.3019154) can0 0xa2#0000000000000000
(1754955962.3157744) can0 0x98#0000000000000000
(1754955962.3159883) can0 0x43#000000032E000000
(1754955962.316235) can0 0xa2#0000000000000000
(1754955962.3307042) can0 0x98#0000000000000000
(1754955962.3309069) can0 0x43#000000B632000000
(1754955962.3311515) can0 0xa2#0000000000000000
(1754955962.3457038) can0 0xa2#0000000000000000
(1754955962.345901) can0 0x43#0000009337000000
(1754955962.3461502) can0 0x98#0000000000000000
(1754955962.3606293) can0 0xa2#0000000000000000
(1754955962.3608353) can0 0x43#0000009A3C000000
(1754955962.3610852) can0 0x98#0000000000000000
(1754955962.3613324) can0 0x290#0000005500000000
(1754955962.3755045) can0 0x98#0000000000000000
(1754955962.3757102) can0 0x43#000000C641000000
(1754955962.3759558) can0 0xa2#0000000000000000
(1754955962.3905413) can0 0x43#0000001547000000
(1754955962.390754) can0 0x98#0000000000000000
(1754955962.3910017) can0 0xa2#0000000000000000
(1754955962.4056575) can0 0x98#0000000000000000
(1754955962.4058723) can0 0x43#000000834C000000
(1754955962.406115) can0 0xa2#0000000000000000
(1754955962.420629) can0 0x98#0000000000000000
(1754955962.4208357) can0 0x43#0000000E52000000
(1754955962.421084) can0 0xa2#0000000000000000
(1754955962.435635) can0 0x98#0000000000000000
(1754955962.4358408) can0 0x43#000000B357000000
(1754955962.4360926) can0 0xa2#0000000000000000
(1754955962.45107) can0 0x98#0000000000000000
(1754955962.4512756) can0 0x43#0000006E5D000000
(1754955962.4515233) can0 0xa2#0000000000000000
(1754955962.4656472) can0 0x98#0000000000000000
(1754955962.4658554) can0 0x43#0000003D63000000
(1754955962.4660997) can0 0xa2#0000000000000000
(1754955962.466355) can0 0x290#0000005500000000
(1754955962.4806218) can0 0x98#0000000000000000
(1754955962.4808333) can0 0xa2#0000000000000000
(1754955962.4810772) can0 0x43#0000001A69000000
(1754955962.4966698) can0 0x98#0000000000000000
(1754955962.4968758) can0 0x43#0000006A6F000000
(1754955962.4971223) can0 0xa2#0000000000000000
(1754955962.511999) can0 0x98#0000000000000000
(1754955962.5122075) can0 0x43#0000005E75000000
(1754955962.5124516) can0 0xa2#0000000000000000
(1754955962.5266464) can0 0xa2#0000000000000000
(1754955962.5268528) can0 0x43#000000577B000000
(1754955962.5271027) can0 0x98#0000000000000000
(1754955962.5416024) can0 0x43#0000005381000000
(1754955962.541781) can0 0x98#0000000000000000
(1754955962.5420277) can0 0xa2#0000000000000000
(1754955962.5577245) can0 0x43#000000B387000000
(1754955962.5579436) can0 0x98#0000000000000000
(1754955962.5581772) can0 0xa2#0000000000000000
(1754955962.573123) can0 0xa2#0000000000000000
(1754955962.57333) can0 0x43#000000A78D000000
(1754955962.573583) can0 0x98#0000000000000000
(1754955962.5738285) can0 0x290#0000005500000000
(1754955962.5881944) can0 0x43#0000009493000000
(1754955962.5884109) can0 0x98#0000000000000000
(1754955962.588657) can0 0xa2#0000000000000000
(1754955962.60316) can0 0xa2#0000000000000000
(1754955962.6033673) can0 0x43#0000007599000000
(1754955962.6036184) can0 0x98#0000000000000000
(1754955962.618191) can0 0x98#0000000000000000
(1754955962.6184025) can0 0x43#000000469F000000
(1754955962.6186457) can0 0xa2#0000000000000000
(1754955962.6333075) can0 0x98#0000000000000000
(1754955962.6335154) can0 0x43#00000006A5000000
(1754955962.633763) can0 0xa2#0000000000000000
(1754955962.6482222) can0 0x98#0000000000000000
(1754955962.6484323) can0 0x43#000000AFAA000000
(1754955962.6486762) can0 0xa2#0000000000000000
(1754955962.6632962) can0 0x43#00000040B0000000
(1754955962.663505) can0 0xa2#0000000000000000
(1754955962.6637523) can0 0x98#0000000000000000
(1754955962.6783273) can0 0x43#000000B5B5000000
(1754955962.678536) can0 0x98#0000000000000000
(1754955962.678784) can0 0xa2#0000000000000000
(1754955962.679032) can0 0x290#0000005500000000
(1754955962.693389) can0 0x43#0000000BBB000000
(1754955962.693583) can0 0x98#0000000000000000
(1754955962.6938336) can0 0xa2#0000000000000000
(1754955962.708157) can0 0x43#0000003EC0000000
(1754955962.708372) can0 0x98#0000000000000000
(1754955962.7086189) can0 0xa2#0000000000000000
(1754955962.7232873) can0 0x43#0000004DC5000000
(1754955962.7235043) can0 0x98#0000000000000000
(1754955962.72375) can0 0xa2#0000000000000000
(1754955962.7385252) can0 0xa2#0000000000000000
(1754955962.7387373) can0 0x43#00000033CA000000
(1754955962.7389834) can0 0x98#0000000000000000
(1754955962.7532902) can0 0xa2#0000000000000000
(1754955962.7534997) can0 0x43#000000EFCE000000
(1754955962.7537541) can0 0x98#0000000000000000
(1754955962.768293) can0 0x43#0000007DD3000000
(1754955962.768504) can0 0x98#0000000000000000
(1754955962.7687504) can0 0xa2#0000000000000000
(1754955962.7832992) can0 0x43#000000DBD7000000
(1754955962.7835145) can0 0x98#0000000000000000
(1754955962.7837622) can0 0xa2#0000000000000000
(1754955962.7840104) can0 0x290#0000005500000000
(1754955962.7983763) can0 0xa2#0000000000000000
(1754955962.7985878) can0 0x43#00000007DC000000
(1754955962.7988362) can0 0x98#0000000000000000
(1754955962.8132753) can0 0x43#000000FDDF000000
(1754955962.8134944) can0 0x98#0000000000000000
(1754955962.8137395) can0 0xa2#0000000000000000
(1754955962.8283107) can0 0x98#0000000000000000
(1754955962.82852) can0 0x43#000000BDE3000000
(1754955962.828768) can0 0xa2#0000000000000000
(1754955962.8441424) can0 0x43#0000007DE7000000
(1754955962.8443656) can0 0x98#0000000000000000
(1754955962.844608) can0 0xa2#0000000000000000
(1754955962.8591423) can0 0x43#000000C4EA000000
(1754955962.859359) can0 0xa2#0000000000000000
(1754955962.8606758) can0 0x98#0000000000000000
